SACK,WINDOW SIZE,CONG WINDOW SCHEME,LINK DELAY,LINK DROP,SPEED,TIME
0,16,reno,2,0.5,2.136,0.24
0,16,reno,2,5.0,1.874921875,0.32
0,16,reno,50,0.5,0.7765625,0.62
0,16,reno,50,5.0,0.7171875,0.68
0,16,cubic,2,0.5,1.682,0.3
0,16,cubic,2,5.0,1.316,0.4
0,16,cubic,50,0.5,0.654296875,0.78
0,16,cubic,50,5.0,0.7591796875,0.64
0,256,reno,2,0.5,2.084,0.22
0,256,reno,2,5.0,1.3335234375,0.54
0,256,reno,50,0.5,0.7169921875,0.68
0,256,reno,50,5.0,0.7271484375,0.7
0,256,cubic,2,0.5,2.724,0.2
0,256,cubic,2,5.0,2.516,0.2
0,256,cubic,50,0.5,0.766015625,0.64
0,256,cubic,50,5.0,0.7921875,0.62
1,16,reno,2,0.5,2.862,0.18
1,16,reno,2,5.0,2.642,0.2
1,16,reno,50,0.5,0.7759765625,0.62
1,16,reno,50,5.0,0.7470703125,0.64
1,16,cubic,2,0.5,2.546,0.2
1,16,cubic,2,5.0,2.528,0.2
1,16,cubic,50,0.5,0.7421875,0.66
1,16,cubic,50,5.0,0.6119140625,0.88
1,256,reno,2,0.5,2.58,0.2
1,256,reno,2,5.0,2.564,0.2
1,256,reno,50,0.5,0.7236328125,0.66
1,256,reno,50,5.0,0.7802734375,0.62
1,256,cubic,2,0.5,2.678,0.2
1,256,cubic,2,5.0,2.354,0.2
1,256,cubic,50,0.5,0.8375,0.6
1,256,cubic,50,5.0,0.7984375,0.6
