Forwarding Table for Node 16 at TIME_STEP 0:
Destination	Path	Cost
0		[13, 15, 19, 0]	20
1		[13, 2, 1]	15
2		[13, 2]	8
3		[13, 2, 3]	9
4		[13, 8, 6, 7, 4]	21
5		[13, 8, 6, 5]	15
6		[13, 8, 6]	10
7		[13, 8, 6, 7]	12
8		[13, 8]	9
9		[13, 8, 9]	11
10		[13, 8, 9, 10]	19
11		[13, 8, 9, 11]	16
12		[13, 8, 12]	11
13		[13]	4
14		[13, 14]	12
15		[13, 15]	9
17		[13, 15, 17]	10
18		[18]	9
19		[13, 15, 19]	11


Forwarding Table for Node 16 at TIME_STEP 1:
Destination	Path	Cost
0		[13, 8, 2, 1, 0]	16
1		[13, 8, 2, 1]	14
2		[13, 8, 2]	7
3		[13, 8, 2, 3]	8
4		[13, 8, 2, 7, 4]	18
5		[13, 8, 6, 5]	13
6		[13, 8, 6]	12
7		[13, 8, 2, 7]	14
8		[13, 8]	4
9		[13, 8, 9]	7
10		[13, 8, 9, 10]	10
11		[13, 8, 9, 11]	13
12		[13, 8, 12]	11
13		[13]	2
14		[13, 14]	10
15		[13, 15]	12
17		[13, 15, 17]	21
18		[18]	4
19		[13, 15, 19]	15


Forwarding Table for Node 16 at TIME_STEP 2:
Destination	Path	Cost
0		[13, 2, 1, 0]	23
1		[13, 2, 1]	17
2		[13, 2]	15
3		[13, 2, 3]	17
4		[13, 2, 7, 4]	26
5		[13, 8, 6, 5]	24
6		[13, 8, 6]	21
7		[13, 2, 7]	21
8		[13, 8]	17
9		[13, 8, 9]	22
10		[13, 8, 9, 10]	24
11		[13, 8, 9, 11]	25
12		[13, 8, 12]	26
13		[13]	8
14		[13, 14]	11
15		[13, 15]	17
17		[13, 15, 17]	25
18		[18]	2
19		[13, 15, 19]	22


Forwarding Table for Node 16 at TIME_STEP 3:
Destination	Path	Cost
0		[13, 2, 1, 0]	26
1		[13, 2, 1]	24
2		[13, 2]	15
3		[13, 2, 3]	17
4		[13, 2, 7, 4]	23
5		[13, 8, 6, 5]	23
6		[13, 8, 6]	16
7		[13, 2, 7]	20
8		[13, 8]	11
9		[13, 8, 9]	14
10		[13, 8, 9, 10]	20
11		[13, 8, 9, 11]	18
12		[13, 8, 12]	15
13		[13]	5
14		[13, 14]	8
15		[13, 15]	15
17		[13, 15, 17]	21
18		[18]	10
19		[13, 15, 19]	24


Forwarding Table for Node 16 at TIME_STEP 4:
Destination	Path	Cost
0		[13, 8, 2, 1, 0]	20
1		[13, 8, 2, 1]	14
2		[13, 8, 2]	10
3		[13, 8, 2, 3]	12
4		[13, 8, 6, 5, 4]	18
5		[13, 8, 6, 5]	17
6		[13, 8, 6]	11
7		[13, 8, 6, 7]	13
8		[13, 8]	8
9		[13, 8, 12, 9]	11
10		[13, 8, 12, 9, 10]	19
11		[13, 8, 12, 9, 11]	15
12		[13, 8, 12]	10
13		[13]	2
14		[13, 14]	9
15		[13, 15]	10
17		[13, 15, 17]	18
18		[18]	10
19		[13, 15, 19]	11


Forwarding Table for Node 16 at TIME_STEP 5:
Destination	Path	Cost
0		[13, 15, 19, 0]	15
1		[13, 2, 1]	20
2		[13, 2]	12
3		[13, 8, 3]	11
4		[13, 8, 6, 5, 4]	17
5		[13, 8, 6, 5]	16
6		[13, 8, 6]	11
7		[13, 2, 7]	15
8		[13, 8]	9
9		[13, 8, 9]	17
10		[13, 8, 9, 10]	21
11		[13, 8, 9, 11]	25
