Forwarding Table for Node 0 at TIME_STEP 0:
Destination	Path	Cost
1		[1]	4
2		[1, 2]	11
3		[1, 2, 3]	12
4		[1, 2, 3, 7, 4]	29
5		[1, 2, 3, 8, 6, 5]	32
6		[1, 2, 3, 8, 6]	25
7		[1, 2, 3, 7]	19
8		[1, 2, 3, 8]	15
9		[1, 2, 3, 8, 12, 9]	17
10		[1, 2, 3, 8, 12, 9, 10]	26
11		[1, 2, 3, 8, 12, 9, 11]	21
12		[1, 2, 3, 8, 12]	16
13		[1, 2, 13]	18
14		[1, 2, 13, 14]	26
15		[19, 15]	16
16		[1, 2, 13, 16]	21
17		[19, 15, 17]	17
18		[1, 2, 13, 16, 18]	30
19		[19]	10


Forwarding Table for Node 0 at TIME_STEP 1:
Destination	Path	Cost
1		[1]	5
2		[1, 2]	11
3		[1, 2, 3]	12
4		[1, 2, 7, 4]	27
5		[1, 2, 3, 8, 6, 5]	27
6		[1, 2, 3, 8, 6]	18
7		[1, 2, 7]	18
8		[1, 2, 3, 8]	14
9		[1, 2, 3, 8, 9]	23
10		[1, 2, 3, 8, 9, 10]	33
11		[1, 2, 3, 8, 9, 11]	24
12		[1, 2, 3, 8, 12]	21
13		[1, 2, 3, 8, 13]	17
14		[1, 2, 3, 8, 13, 14]	25
15		[19, 15]	19
16		[1, 2, 3, 8, 13, 16]	23
17		[19, 15, 17]	28
18		[1, 2, 3, 8, 13, 16, 18]	27
19		[19]	10


Forwarding Table for Node 0 at TIME_STEP 2:
Destination	Path	Cost
1		[1]	3
2		[1, 2]	12
3		[1, 2, 3]	14
4		[1, 2, 7, 4]	26
5		[1, 2, 8, 6, 5]	26
6		[1, 2, 8, 6]	22
7		[1, 2, 7]	18
8		[1, 2, 8]	16
9		[1, 2, 8, 9]	21
10		[1, 2, 8, 9, 10]	31
11		[1, 2, 8, 9, 11]	29
12		[1, 2, 8, 12]	17
13		[1, 2, 13]	17
14		[1, 2, 13, 14]	20
15		[19, 15]	17
16		[1, 2, 13, 16]	27
17		[19, 15, 17]	25
18		[1, 2, 13, 16, 18]	36
19		[19]	8


Forwarding Table for Node 0 at TIME_STEP 3:
Destination	Path	Cost
1		[1]	1
2		[1, 2]	10
3		[1, 2, 3]	12
4		[1, 2, 7, 4]	17
5		[1, 2, 7, 4, 5]	21
6		[1, 2, 8, 6]	18
7		[1, 2, 7]	15
8		[1, 2, 8]	16
9		[1, 2, 8, 9]	24
10		[1, 2, 8, 9, 10]	27
11		[1, 2, 8, 9, 11]	34
12		[1, 2, 8, 12]	23
13		[1, 2, 13]	15
14		[1, 2, 13, 14]	18
15		[19, 15]	18
16		[1, 2, 13, 16]	16
17		[19, 15, 17]	24
18		[1, 2, 13, 16, 18]	26
19		[19]	8


Forwarding Table for Node 0 at TIME_STEP 4:
Destination	Path	Cost
1		[1]	4
2		[1, 2]	7
3		[1, 2, 3]	9
4		[1, 2, 7, 4]	19
5		[1, 2, 8, 6, 5]	18
6		[1, 2, 8, 6]	13
7		[1, 2, 7]	12
8		[1, 2, 8]	8
9		[1, 2, 8, 12, 9]	11
10		[1, 2, 8, 12, 9, 10]	14
11		[1, 2, 8, 12, 9, 11]	16
12		[1, 2, 8, 12]	10
13		[1, 2, 13]	11
14		[1, 2, 13, 14]	18
15		[19, 15]	18
16		[1, 2, 13, 16]	21
17		[19, 15, 17]	26
18		[1, 2, 13, 16, 18]	31
19		[19]	8


Forwarding Table for Node 0 at TIME_STEP 5:
Destination	Path	Cost
1		[1]	6
2		[1, 2]	15
3		[1, 2, 8, 3]	21
4		[1, 2, 7, 4]	24
5		[1, 2, 8, 6, 5]	26
6		[1, 2, 8, 6]	22
7		[1, 2, 7]	18
8		[1, 2, 8]	16
9		[1, 2, 8, 9]	17
10		[1, 2, 8, 9, 10]	21
11		[1, 2, 8, 9, 11]	22
12		[1, 2, 8, 12]	21
13		[19, 15, 13]	16
14		[19, 15, 13, 14]	25
15		[19, 15]	11
16		[19, 15, 13, 16]	18
17		[19, 15, 17]	18
18		[19, 15, 13, 16, 18]	21
19		[19]	4


Forwarding Table for Node 0 at TIME_STEP 6:
Destination	Path	Cost
1		[1]	8
2		[1, 2]	15
3		[1, 2, 8, 3]	21
4		[1, 2, 7, 4]	25
5		[1, 2, 8, 6, 5]	27
6		[1, 2, 8, 6]	21
7		[1, 2, 7]	21
8		[1, 2, 8]	17
9		[1, 2, 8, 9]	20
10		[1, 2, 8, 9, 10]	30
11		[1, 2, 8, 9, 11]	26
12		[1, 2, 8, 12]	18
13		[1, 2, 13]	22
14		[1, 2, 13, 14]	25
15		[19, 15]	13
16		[1, 2, 13, 16]	32
17		[19, 15, 17]	23
18		[1, 2, 13, 16, 18]	33
19		[19]	10


Forwarding Table for Node 0 at TIME_STEP 7:
Destination	Path	Cost
1		[1]	5
2		[1, 2]	14
3		[1, 2, 3]	21
4		[1, 2, 7, 6, 5, 4]	27
5		[1, 2, 7, 6, 5]	26
6		[1, 2, 7, 6]	23
7		[1, 2, 7]	20
8		[1, 2, 8]	22
9		[1, 2, 8, 9]	23
10		[1, 2, 8, 9, 10]	28
11		[1, 2, 8, 9, 11]	27
12		[1, 2, 8, 12]	27
13		[19, 15, 13]	14
14		[19, 15, 13, 14]	24
15		[19, 15]	9
16		[19, 15, 13, 16]	21
17		[19, 15, 17]	19
18		[19, 15, 13, 16, 18]	26
19		[19]	1


Forwarding Table for Node 0 at TIME_STEP 8:
Destination	Path	Cost
1		[1]	6
2		[1, 2]	7
3		[1, 2, 3]	12
4		[1, 2, 7, 4]	16
5		[1, 2, 7, 4, 5]	22
6		[1, 2, 13, 8, 6]	16
7		[1, 2, 7]	15
8		[1, 2, 13, 8]	13
9		[1, 2, 13, 8, 12, 9]	15
10		[1, 2, 13, 8, 12, 9, 10]	21
11		[1, 2, 13, 8, 12, 9, 11]	24
12		[1, 2, 13, 8, 12]	14
13		[1, 2, 13]	11
14		[1, 2, 13, 14]	14
15		[1, 2, 13, 15]	13
16		[1, 2, 13, 16]	21
17		[1, 2, 13, 15, 17]	16
18		[1, 2, 13, 16, 18]	23
19		[19]	7


Forwarding Table for Node 0 at TIME_STEP 9:
Destination	Path	Cost
1		[1]	4
2		[1, 2]	5
3		[1, 2, 3]	12
4		[1, 2, 3, 7, 4]	16
5		[1, 2, 3, 7, 4, 5]	19
6		[1, 2, 8, 6]	22
7		[1, 2, 3, 7]	13
8		[1, 2, 8]	12
9		[1, 2, 8, 12, 9]	21
10		[1, 2, 8, 12, 9, 10]	22
11		[1, 2, 8, 12, 9, 11]	30
12		[1, 2, 8, 12]	13
13		[19, 15, 13]	8
14		[19, 15, 13, 14]	13
15		[19, 15]	5
16		[19, 15, 13, 16]	15
17		[19, 15, 17]	15
18		[19, 15, 13, 16, 18]	23
19		[19]	2


Forwarding Table for Node 0 at TIME_STEP 10:
Destination	Path	Cost
1		[1]	10
2		[1, 2]	15
3		[19, 15, 13, 8, 3]	15
4		[1, 2, 7, 4]	23
5		[19, 15, 13, 8, 6, 5]	21
6		[19, 15, 13, 8, 6]	16
7		[1, 2, 7]	17
8		[19, 15, 13, 8]	14
9		[19, 15, 13, 8, 9]	24
10		[19, 15, 13, 8, 9, 10]	33
11		[19, 15, 13, 8, 9, 11]	25
12		[19, 15, 13, 8, 12]	23
13		[19, 15, 13]	9
14		[19, 15, 13, 14]	14
15		[19, 15]	7
16		[19, 15, 13, 16]	18
17		[19, 15, 17]	11
18		[19, 15, 13, 16, 18]	23
19		[19]	1


Forwarding Table for Node 0 at TIME_STEP 11:
Destination	Path	Cost
1		[1]	3
2		[1, 2]	11
3		[1, 2, 3]	13
4		[1, 2, 7, 4]	19
5		[1, 2, 7, 6, 5]	22
6		[1, 2, 7, 6]	19
7		[1, 2, 7]	15
8		[1, 2, 8]	13
9		[1, 2, 8, 9]	17
10		[1, 2, 8, 9, 10]	18
11		[1, 2, 8, 9, 11]	23
12		[1, 2, 8, 12]	20
13		[19, 15, 13]	16
14		[19, 15, 13, 14]	23
15		[19, 15]	9
16		[19, 15, 13, 16]	22
17		[19, 15, 17]	12
18		[19, 15, 13, 16, 18]	24
19		[19]	7


Forwarding Table for Node 0 at TIME_STEP 12:
Destination	Path	Cost
1		[1]	6
2		[1, 2]	12
3		[1, 2, 3]	17
4		[1, 2, 7, 4]	17
5		[1, 2, 7, 4, 5]	22
6		[1, 2, 8, 6]	22
7		[1, 2, 7]	14
8		[1, 2, 8]	13
9		[1, 2, 8, 9]	20
10		[1, 2, 8, 9, 10]	28
11		[1, 2, 8, 9, 11]	24
12		[1, 2, 8, 12]	23
13		[1, 2, 8, 13]	17
14		[1, 2, 8, 13, 14]	22
15		[19, 15]	16
16		[1, 2, 8, 13, 16]	21
17		[19, 15, 17]	17
18		[1, 2, 8, 13, 16, 18]	23
19		[19]	7


Forwarding Table for Node 0 at TIME_STEP 13:
Destination	Path	Cost
1		[1]	6
2		[1, 2]	7
3		[1, 2, 3]	11
4		[1, 2, 7, 4]	18
5		[1, 2, 7, 4, 5]	23
6		[1, 2, 8, 6]	19
7		[1, 2, 7]	15
8		[1, 2, 8]	9
9		[1, 2, 8, 9]	13
10		[1, 2, 8, 9, 10]	20
11		[1, 2, 8, 9, 11]	22
12		[1, 2, 8, 9, 12]	16
13		[1, 2, 13]	10
14		[1, 2, 13, 14]	19
15		[19, 15]	12
16		[1, 2, 13, 16]	16
17		[19, 15, 17]	21
18		[1, 2, 13, 16, 18]	19
19		[19]	4


Forwarding Table for Node 0 at TIME_STEP 14:
Destination	Path	Cost
1		[1]	4
2		[1, 2]	6
3		[1, 2, 3]	14
4		[1, 2, 7, 4]	13
5		[1, 2, 7, 4, 5]	14
6		[1, 2, 8, 6]	13
7		[1, 2, 7]	10
8		[1, 2, 8]	12
9		[1, 2, 8, 9]	14
10		[1, 2, 8, 9, 10]	24
11		[1, 2, 8, 9, 11]	17
12		[1, 2, 8, 12]	13
13		[1, 2, 13]	11
14		[1, 2, 13, 14]	15
15		[19, 15]	10
16		[1, 2, 13, 16]	14
17		[19, 15, 17]	15
18		[1, 2, 13, 16, 18]	16
19		[19]	3


Forwarding Table for Node 0 at TIME_STEP 15:
Destination	Path	Cost
1		[1]	6
2		[1, 2]	12
3		[1, 2, 3]	13
4		[1, 2, 3, 7, 4]	22
5		[1, 2, 8, 6, 5]	23
6		[1, 2, 8, 6]	22
7		[1, 2, 3, 7]	19
8		[1, 2, 8]	14
9		[1, 2, 8, 9]	17
10		[1, 2, 8, 9, 10]	25
11		[1, 2, 8, 9, 11]	27
12		[1, 2, 8, 12]	19
13		[19, 15, 13]	14
14		[19, 15, 13, 14]	21
