Forwarding Table for Node 11 at TIME_STEP 0:
Destination	Path	Cost
0		[9, 12, 8, 2, 1, 0]	29
1		[9, 12, 8, 2, 1]	19
2		[9, 12, 8, 2]	12
3		[9, 12, 8, 3]	10
4		[9, 12, 8, 3, 7, 4]	26
5		[9, 12, 8, 6, 5]	23
6		[9, 12, 8, 6]	16
7		[9, 12, 8, 3, 7]	17
8		[9, 12, 8]	6
9		[9]	3
10		[9, 10]	11
12		[9, 12]	4
13		[9, 12, 8, 13]	14
14		[9, 12, 8, 13, 14]	22
15		[9, 12, 8, 13, 15]	19
16		[9, 12, 8, 13, 16]	17
17		[9, 12, 8, 13, 15, 17]	20
18		[9, 12, 8, 13, 16, 18]	26
19		[9, 12, 8, 13, 15, 19]	21


Forwarding Table for Node 11 at TIME_STEP 1:
Destination	Path	Cost
0		[9, 8, 2, 1, 0]	23
1		[9, 8, 2, 1]	21
2		[9, 8, 2]	14
3		[9, 8, 2, 3]	15
4		[9, 8, 6, 7, 4]	24
5		[9, 8, 6, 5]	28
6		[9, 8, 6]	19
7		[9, 8, 6, 7]	20
8		[9, 8]	11
9		[9]	4
10		[9, 10]	7
12		[9, 12]	11
13		[9, 8, 13]	12
14		[9, 8, 13, 14]	20
15		[9, 8, 13, 15]	22
16		[9, 8, 13, 16]	18
17		[9, 8, 13, 15, 17]	31
18		[9, 8, 13, 16, 18]	22
19		[9, 8, 13, 15, 19]	25


Forwarding Table for Node 11 at TIME_STEP 2:
Destination	Path	Cost
0		[9, 8, 2, 1, 0]	33
1		[9, 8, 2, 1]	27
2		[9, 8, 2]	25
3		[9, 8, 3]	23
4		[9, 8, 6, 5, 4]	31
5		[9, 8, 6, 5]	24
6		[9, 8, 6]	20
7		[9, 8, 6, 7]	26
8		[9, 8]	16
9		[9]	7
10		[9, 10]	9
12		[9, 12]	12
13		[9, 8, 13]	24
14		[9, 8, 13, 14]	27
15		[9, 8, 13, 15]	33
16		[9, 8, 13, 16]	34
17		[9, 8, 13, 15, 17]	41
18		[9, 8, 13, 16, 18]	43
19		[9, 8, 13, 15, 19]	38


Forwarding Table for Node 11 at TIME_STEP 3:
Destination	Path	Cost
0		[9, 8, 2, 1, 0]	26
1		[9, 8, 2, 1]	24
2		[9, 8, 2]	15
3		[9, 8, 3]	13
4		[9, 8, 6, 7, 4]	16
5		[9, 8, 6, 5]	16
6		[9, 8, 6]	11
7		[9, 8, 6, 7]	13
8		[9, 8]	6
9		[9]	3
10		[9, 10]	9
12		[9, 12]	9
13		[9, 8, 13]	13
14		[9, 8, 13, 14]	16
15		[9, 8, 13, 15]	23
16		[9, 8, 13, 16]	14
17		[9, 8, 13, 15, 17]	29
18		[9, 8, 13, 16, 18]	24
19		[9, 8, 13, 15, 19]	32


Forwarding Table for Node 11 at TIME_STEP 4:
Destination	Path	Cost
0		[9, 8, 2, 1, 0]	22
1		[9, 8, 2, 1]	16
