Forwarding Table for Node 4 at TIME_STEP 0:
Destination	Path	Cost
0		[7, 3, 2, 1, 0]	16
1		[7, 3, 2, 1]	11
2		[7, 3, 2]	4
3		[7, 3]	2
5		[5]	10
6		[7, 6]	10
7		[7]	1
8		[7, 3, 8]	3
9		[7, 3, 8, 12, 9]	5
10		[7, 3, 8, 12, 9, 10]	14
11		[7, 3, 8, 12, 9, 11]	9
12		[7, 3, 8, 12]	4
13		[7, 3, 8, 13]	11
14		[7, 3, 8, 13, 14]	19
15		[7, 3, 8, 13, 15]	16
16		[7, 3, 8, 13, 16]	14
17		[7, 3, 8, 13, 15, 17]	17
18		[7, 3, 8, 13, 16, 18]	23
19		[7, 3, 8, 13, 15, 19]	18


Forwarding Table for Node 4 at TIME_STEP 1:
Destination	Path	Cost
0		[7, 2, 1, 0]	33
1		[7, 2, 1]	23
2		[7, 2]	16
3		[7, 2, 3]	17
5		[5]	7
6		[7, 6]	14
7		[7]	8
8		[7, 6, 8]	15
9		[7, 6, 8, 9]	24
10		[7, 6, 8, 9, 10]	34
11		[7, 6, 8, 9, 11]	25
12		[7, 6, 8, 12]	22
13		[7, 6, 8, 13]	18
14		[7, 6, 8, 13, 14]	26
15		[7, 6, 8, 13, 15]	28
16		[7, 6, 8, 13, 16]	24
17		[7, 6, 8, 13, 15, 17]	37
18		[7, 6, 8, 13, 16, 18]	28
19		[7, 6, 8, 13, 15, 19]	31


Forwarding Table for Node 4 at TIME_STEP 2:
Destination	Path	Cost
0		[7, 2, 1, 0]	19
1		[7, 2, 1]	10
2		[7, 2]	8
3		[7, 2, 3]	10
5		[5]	8
6		[7, 6]	16
7		[7]	6
8		[7, 2, 8]	12
9		[7, 2, 8, 9]	17
10		[7, 2, 8, 9, 10]	27
11		[7, 2, 8, 9, 11]	25
12		[7, 2, 8, 12]	13
13		[7, 2, 13]	13
14		[7, 2, 13, 14]	16
15		[7, 2, 13, 15]	22
16		[7, 2, 13, 16]	23
17		[7, 2, 13, 15, 17]	30
18		[7, 2, 13, 16, 18]	32
19		[7, 2, 1, 0, 19]	25


Forwarding Table for Node 4 at TIME_STEP 3:
Destination	Path	Cost
0		[7, 2, 1, 0]	17
1		[7, 2, 1]	15
2		[7, 2]	6
3		[7, 3]	8
5		[5]	4
6		[7, 6]	9
7		[7]	5
8		[7, 6, 8]	11
9		[7, 6, 8, 9]	19
10		[7, 6, 8, 9, 10]	22
11		[7, 6, 8, 9, 11]	29
12		[7, 6, 8, 12]	18
13		[7, 2, 13]	11
14		[7, 2, 13, 14]	14
15		[7, 2, 13, 15]	21
16		[7, 2, 13, 16]	12
17		[7, 2, 13, 15, 17]	27
18		[7, 2, 13, 16, 18]	22
19		[7, 2, 1, 0, 19]	20


Forwarding Table for Node 4 at TIME_STEP 4:
Destination	Path	Cost
0		[7, 2, 1, 0]	17
1		[7, 2, 1]	8
2		[7, 2]	4
3		[7, 2, 3]	6
5		[5]	9
6		[7, 6]	6
7		[7]	3
8		[7, 2, 8]	5
9		[7, 2, 8, 12, 9]	8
10		[7, 2, 8, 12, 9, 10]	11
11		[7, 2, 8, 12, 9, 11]	13
12		[7, 2, 8, 12]	7
13		[7, 2, 13]	8
14		[7, 2, 13, 14]	15
15		[7, 2, 13, 15]	16
16		[7, 2, 13, 16]	18
17		[7, 2, 13, 15, 17]	24
18		[7, 2, 13, 16, 18]	28
19		[7, 2, 13, 15, 19]	17


Forwarding Table for Node 4 at TIME_STEP 5:
Destination	Path	Cost
0		[7, 2, 13, 15, 19, 0]	28
1		[7, 2, 1]	25
2		[7, 2]	17
3		[7, 3]	18
5		[5]	5
6		[5, 6]	11
7		[7]	10
8		[5, 6, 8]	18
9		[5, 6, 8, 9]	19
10		[5, 6, 8, 9, 10]	23
11		[5, 6, 8, 9, 11]	24
12		[5, 6, 8, 12]	23
13		[7, 2, 13]	20
14		[7, 2, 13, 14]	29
15		[7, 2, 13, 15]	24
16		[7, 2, 13, 16]	22
17		[7, 2, 13, 15, 17]	31
18		[7, 2, 13, 16, 18]	25
19		[7, 2, 13, 15, 19]	25


Forwarding Table for Node 4 at TIME_STEP 6:
Destination	Path	Cost
0		[7, 2, 1, 0]	17
1		[7, 2, 1]	10
2		[7, 2]	8
3		[7, 3]	12
5		[5]	7
6		[7, 6]	3
7		[7]	2
8		[7, 6, 8]	8
9		[7, 6, 8, 9]	11
10		[7, 6, 8, 9, 10]	21
