Forwarding Table for Node 4 at TIME_STEP 0:
Destination	Path	Cost
11		[7, 6, 8, 9, 11]	17
12		[7, 6, 8, 12]	9
13		[7, 2, 13]	15
14		[7, 2, 13, 14]	18
15		[7, 2, 13, 15]	21
16		[7, 2, 13, 16]	25
17		[7, 2, 13, 15, 17]	31
18		[7, 2, 13, 16, 18]	26
19		[7, 2, 13, 15, 19]	23


Forwarding Table for Node 4 at TIME_STEP 7:
Destination	Path	Cost
0		[7, 2, 1, 0]	16
1		[7, 2, 1]	15
2		[7, 2]	11
3		[7, 3]	9
5		[5]	8
6		[7, 6]	5
7		[7]	2
8		[7, 6, 8]	14
9		[7, 6, 8, 9]	15
10		[7, 6, 8, 9, 10]	20
11		[7, 6, 8, 9, 11]	19
12		[7, 6, 8, 12]	19
13		[7, 2, 13]	20
14		[7, 2, 13, 14]	30
15		[7, 2, 13, 15]	25
16		[7, 2, 13, 16]	27
17		[7, 2, 13, 15, 17]	35
18		[7, 2, 13, 16, 18]	32
19		[7, 2, 1, 0, 19]	25


Forwarding Table for Node 4 at TIME_STEP 8:
Destination	Path	Cost
0		[5, 6, 8, 2, 1, 0]	24
1		[5, 6, 8, 2, 1]	22
2		[5, 6, 8, 2]	13
3		[7, 3]	10
5		[5]	6
6		[5, 6]	7
7		[7]	9
8		[5, 6, 8]	9
9		[5, 6, 8, 12, 9]	11
10		[5, 6, 8, 12, 9, 10]	17
11		[5, 6, 8, 12, 9, 11]	20
12		[5, 6, 8, 12]	10
13		[5, 6, 8, 13]	15
14		[5, 6, 8, 13, 14]	18
15		[5, 6, 8, 13, 15]	17
16		[5, 6, 8, 13, 16]	25
17		[5, 6, 8, 13, 15, 17]	20
18		[5, 6, 8, 13, 16, 18]	27
19		[5, 6, 8, 13, 15, 19]	19


Forwarding Table for Node 4 at TIME_STEP 9:
Destination	Path	Cost
0		[7, 2, 1, 0]	23
1		[7, 2, 1]	18
2		[7, 2]	9
3		[7, 3]	8
5		[5]	3
6		[5, 6]	12
7		[7]	7
8		[5, 6, 8]	14
9		[5, 6, 8, 12, 9]	23
10		[5, 6, 8, 12, 9, 10]	24
11		[5, 6, 8, 12, 9, 11]	32
12		[5, 6, 8, 12]	15
13		[7, 2, 13]	13
14		[7, 2, 13, 14]	18
15		[7, 2, 13, 15]	22
16		[7, 2, 13, 16]	20
17		[7, 2, 13, 15, 17]	32
18		[7, 2, 13, 16, 18]	28
19		[7, 2, 13, 15, 19]	29


Forwarding Table for Node 4 at TIME_STEP 10:
Destination	Path	Cost
0		[7, 2, 1, 0]	28
1		[7, 2, 1]	24
2		[7, 2]	15
3		[7, 3]	16
5		[5]	6
6		[5, 6]	15
7		[7]	10
8		[7, 2, 8]	17
9		[7, 2, 8, 9]	27
10		[7, 2, 8, 9, 10]	36
11		[7, 2, 8, 9, 11]	28
12		[7, 2, 8, 12]	26
13		[7, 2, 8, 13]	18
14		[7, 2, 8, 13, 14]	23
15		[7, 2, 8, 13, 15]	19
16		[7, 2, 8, 13, 16]	27
17		[7, 2, 8, 13, 15, 17]	23
18		[7, 2, 8, 13, 16, 18]	32
19		[7, 2, 8, 13, 15, 19]	25


Forwarding Table for Node 4 at TIME_STEP 11:
Destination	Path	Cost
0		[7, 2, 1, 0]	15
1		[7, 2, 1]	14
2		[7, 2]	12
3		[7, 3]	13
5		[5]	10
6		[7, 6]	13
7		[7]	9
8		[7, 2, 8]	14
9		[7, 2, 8, 9]	18
10		[7, 2, 8, 9, 10]	19
11		[7, 2, 8, 9, 11]	24
12		[7, 2, 8, 12]	21
13		[7, 2, 8, 13]	17
14		[7, 2, 8, 13, 14]	24
15		[7, 2, 8, 13, 15]	18
16		[7, 2, 8, 13, 16]	23
17		[7, 2, 8, 13, 15, 17]	21
18		[7, 2, 8, 13, 16, 18]	25
19		[7, 2, 1, 0, 19]	18


Forwarding Table for Node 4 at TIME_STEP 12:
Destination	Path	Cost
0		[7, 2, 1, 0]	30
1		[7, 2, 1]	21
2		[7, 2]	14
3		[7, 3]	13
5		[5]	5
6		[5, 6]	11
7		[7]	4
8		[7, 2, 8]	15
9		[7, 2, 8, 9]	22
10		[7, 2, 8, 9, 10]	30
11		[7, 2, 8, 9, 11]	26
12		[7, 2, 8, 12]	25
13		[7, 2, 8, 13]	19
14		[7, 2, 8, 13, 14]	24
15		[7, 2, 8, 13, 15]	29
16		[7, 2, 8, 13, 16]	23
17		[7, 2, 8, 13, 15, 17]	30
18		[7, 2, 8, 13, 16, 18]	25
19		[7, 2, 1, 0, 19]	33


Forwarding Table for Node 4 at TIME_STEP 13:
Destination	Path	Cost
0		[7, 2, 1, 0]	17
1		[7, 2, 1]	8
2		[7, 2]	4
3		[7, 2, 3]	8
5		[5]	5
6		[7, 6]	7
7		[7]	3
8		[7, 2, 8]	6
9		[7, 2, 8, 9]	10
10		[7, 2, 8, 9, 10]	17
11		[7, 2, 8, 9, 11]	19
12		[7, 2, 8, 9, 12]	13
13		[7, 2, 13]	7
14		[7, 2, 13, 14]	16
15		[7, 2, 13, 15]	13
16		[7, 2, 13, 16]	13
17		[7, 2, 13, 15, 17]	22
18		[7, 2, 13, 16, 18]	16
19		[7, 2, 13, 15, 19]	20


Forwarding Table for Node 4 at TIME_STEP 14:
Destination	Path	Cost
0		[5, 6, 8, 2, 1, 0]	17
1		[5, 6, 8, 2, 1]	13
2		[5, 6, 8, 2]	11
3		[5, 6, 8, 3]	9
5		[5]	1
6		[5, 6]	6
7		[7]	7
8		[5, 6, 8]	7
9		[5, 6, 8, 9]	9
10		[5, 6, 8, 9, 10]	19
11		[5, 6, 8, 9, 11]	12
12		[5, 6, 8, 12]	8
13		[5, 6, 8, 13]	14
14		[5, 6, 8, 13, 14]	18
15		[5, 6, 8, 13, 15]	18
16		[5, 6, 8, 13, 16]	17
17		[5, 6, 8, 13, 15, 17]	23
18		[5, 6, 8, 13, 16, 18]	19
19		[5, 6, 8, 13, 15, 19]	19


Forwarding Table for Node 4 at TIME_STEP 15:
Destination	Path	Cost
0		[7, 2, 1, 0]	21
1		[7, 2, 1]	18
2		[7, 2]	11
3		[7, 3]	11
5		[5]	8
6		[5, 6]	9
7		[7]	9
8		[7, 3, 8]	12
9		[7, 3, 8, 9]	15
10		[7, 3, 8, 9, 10]	23
11		[7, 3, 8, 9, 11]	25
12		[7, 3, 8, 12]	17
13		[7, 3, 8, 13]	13
14		[7, 3, 8, 13, 14]	20
15		[7, 3, 8, 13, 15]	20
16		[7, 3, 8, 13, 16]	14
17		[7, 3, 8, 13, 15, 17]	28
18		[7, 3, 8, 13, 16, 18]	21
19		[7, 3, 8, 13, 15, 19]	21


Forwarding Table for Node 4 at TIME_STEP 16:
Destination	Path	Cost
0		[7, 2, 1, 0]	14
1		[7, 2, 1]	12
2		[7, 2]	10
3		[7, 3]	10
5		[5]	3
6		[5, 6]	11
7		[7]	8
8		[7, 3, 8]	15
9		[7, 3, 8, 9]	22
10		[7, 3, 8, 9, 10]	29
11		[7, 3, 8, 9, 11]	32
12		[7, 3, 8, 12]	21
13		[7, 2, 13]	13
14		[7, 2, 13, 14]	20
15		[7, 2, 13, 15]	14
16		[7, 2, 13, 16]	21
17		[7, 2, 13, 15, 17]	24
18		[7, 2, 13, 16, 18]	30
19		[7, 2, 1, 0, 19]	17


Forwarding Table for Node 4 at TIME_STEP 17:
Destination	Path	Cost
0		[7, 2, 1, 0]	19
1		[7, 2, 1]	17
2		[7, 2]	7
3		[7, 3]	5
5		[5]	2
6		[5, 6]	6
7		[7]	2
8		[5, 6, 8]	7
9		[5, 6, 8, 9]	9
10		[5, 6, 8, 9, 10]	18
11		[5, 6, 8, 9, 11]	13
12		[5, 6, 8, 12]	10
13		[7, 2, 13]	12
14		[7, 2, 13, 14]	22
15		[7, 2, 13, 15]	22
16		[7, 2, 13, 16]	20
17		[7, 2, 13, 15, 17]	29
18		[7, 2, 13, 16, 18]	23
19		[7, 2, 13, 15, 19]	26


Forwarding Table for Node 4 at TIME_STEP 18:
Destination	Path	Cost
0		[7, 2, 1, 0]	22
1		[7, 2, 1]	15
2		[7, 2]	14
3		[7, 3]	15
5		[5]	1
6		[5, 6]	6
7		[7]	5
8		[5, 6, 8]	15
9		[5, 6, 8, 9]	18
10		[5, 6, 8, 9, 10]	21
11		[5, 6, 8, 9, 11]	23
12		[5, 6, 8, 12]	19
13		[7, 2, 13]	16
14		[7, 2, 13, 14]	17
15		[7, 2, 13, 15]	19
16		[7, 2, 13, 16]	18
17		[7, 2, 13, 15, 17]	20
18		[7, 2, 13, 16, 18]	22
19		[7, 2, 13, 15, 19]	24


Forwarding Table for Node 4 at TIME_STEP 19:
Destination	Path	Cost
0		[7, 6, 8, 2, 1, 0]	22
1		[7, 6, 8, 2, 1]	17
2		[7, 6, 8, 2]	13
3		[7, 3]	12
5		[5]	9
6		[7, 6]	9
7		[7]	6
8		[7, 6, 8]	10
9		[7, 6, 8, 9]	15
10		[7, 6, 8, 9, 10]	17
11		[7, 6, 8, 9, 11]	22
12		[7, 6, 8, 9, 12]	17
13		[7, 6, 8, 13]	19
14		[7, 6, 8, 13, 14]	29
15		[7, 6, 8, 13, 15]	21
16		[7, 6, 8, 13, 16]	25
17		[7, 6, 8, 13, 15, 17]	26
18		[7, 6, 8, 13, 16, 18]	27
19		[7, 6, 8, 2, 1, 0, 19]	29


