Forwarding Table for Node 13 at TIME_STEP 0:
Destination	Path	Cost
0		[15, 19, 0]	16
1		[2, 1]	11
2		[2]	4
3		[2, 3]	5
4		[8, 6, 7, 4]	17
5		[8, 6, 5]	11
6		[8, 6]	6
7		[8, 6, 7]	8
8		[8]	5
9		[8, 9]	7
10		[8, 9, 10]	15
11		[8, 9, 11]	12
12		[8, 12]	7
14		[14]	8
15		[15]	5
16		[16]	3
17		[15, 17]	6
18		[16, 18]	11
19		[15, 19]	7


Forwarding Table for Node 13 at TIME_STEP 1:
Destination	Path	Cost
0		[8, 2, 1, 0]	14
1		[8, 2, 1]	12
2		[8, 2]	5
3		[8, 2, 3]	6
4		[8, 2, 7, 4]	16
5		[8, 6, 5]	11
6		[8, 6]	10
7		[8, 2, 7]	12
8		[8]	2
9		[8, 9]	5
10		[8, 9, 10]	8
11		[8, 9, 11]	11
12		[8, 12]	9
14		[14]	8
15		[15]	10
16		[16]	6
17		[15, 17]	19
18		[16, 18]	11
19		[15, 19]	13


Forwarding Table for Node 13 at TIME_STEP 2:
Destination	Path	Cost
0		[2, 1, 0]	15
1		[2, 1]	9
2		[2]	7
3		[2, 3]	9
4		[2, 7, 4]	18
5		[8, 6, 5]	16
6		[8, 6]	13
7		[2, 7]	13
8		[8]	9
9		[8, 9]	14
10		[8, 9, 10]	16
11		[8, 9, 11]	17
12		[8, 12]	18
14		[14]	3
15		[15]	9
16		[16]	10
17		[15, 17]	18
18		[16, 18]	12
19		[15, 19]	18


Forwarding Table for Node 13 at TIME_STEP 3:
Destination	Path	Cost
0		[15, 19, 0]	21
1		[2, 1]	19
2		[2]	10
3		[2, 3]	12
4		[2, 7, 4]	18
5		[8, 6, 5]	18
6		[8, 6]	11
7		[2, 7]	15
8		[8]	6
9		[8, 9]	9
10		[8, 9, 10]	15
11		[8, 9, 11]	13
12		[8, 12]	10
14		[14]	3
15		[15]	10
16		[16]	1
17		[15, 17]	17
18		[16, 18]	2
19		[15, 19]	12


Forwarding Table for Node 13 at TIME_STEP 4:
Destination	Path	Cost
0		[8, 2, 1, 0]	18
1		[8, 2, 1]	12
2		[8, 2]	8
3		[8, 2, 3]	10
4		[8, 6, 5, 4]	16
5		[8, 6, 5]	15
6		[8, 6]	9
7		[8, 6, 7]	11
8		[8]	6
9		[8, 9]	12
10		[8, 9, 10]	20
11		[8, 9, 11]	16
12		[8, 12]	8
14		[14]	7
15		[15]	8
16		[16]	10
17		[15, 17]	15
18		[16, 18]	20
19		[15, 19]	14


Forwarding Table for Node 13 at TIME_STEP 5:
Destination	Path	Cost
0		[15, 19, 0]	16
1		[2, 1]	13
2		[2]	5
3		[8, 3]	4
4		[8, 6, 5, 4]	10
5		[8, 6, 5]	9
6		[8, 6]	4
7		[2, 7]	8
8		[8]	2
9		[8, 9]	10
10		[8, 9, 10]	14
11		[8, 9, 11]	18
12		[8, 12]	6
14		[14]	9
15		[15]	4
16		[16]	2
17		[15, 17]	13
18		[16, 18]	12
19		[15, 19]	13


Forwarding Table for Node 13 at TIME_STEP 6:
Destination	Path	Cost
0		[15, 19, 0]	12
1		[2, 1]	4
2		[2]	2
3		[2, 3]	9
4		[2, 7, 4]	12
5		[2, 8, 6, 5]	14
6		[2, 8, 6]	12
7		[2, 7]	8
8		[2, 8]	4
9		[2, 8, 9]	8
10		[2, 8, 9, 10]	18
11		[2, 8, 9, 11]	12
12		[2, 8, 9, 12]	11
14		[14]	3
15		[15]	6
16		[16]	10
17		[15, 17]	13
18		[16, 18]	19
19		[15, 19]	9


Forwarding Table for Node 13 at TIME_STEP 7:
Destination	Path	Cost
0		[2, 1, 0]	12
1		[2, 1]	10
2		[2]	6
3		[2, 3]	13
4		[2, 7, 4]	13
5		[8, 6, 5]	20
6		[8, 6]	15
7		[2, 7]	12
8		[8]	10
9		[8, 12, 9]	16
10		[8, 12, 9, 10]	23
11		[8, 12, 9, 11]	19
12		[8, 12]	13
14		[14]	10
15		[15]	5
16		[16]	7
17		[15, 17]	8
18		[16, 18]	8
19		[15, 19]	12


Forwarding Table for Node 13 at TIME_STEP 8:
Destination	Path	Cost
0		[15, 19, 0]	17
1		[2, 1]	18
2		[2]	9
3		[2, 3]	14
4		[2, 7, 4]	21
5		[8, 6, 5]	17
6		[8, 6]	10
7		[2, 7]	17
8		[8]	7
9		[8, 9]	12
