Forwarding Table for Node 13 at TIME_STEP 0:
Destination	Path	Cost
10		[8, 9, 10]	19
11		[8, 9, 11]	22
12		[8, 12]	13
14		[14]	3
15		[15]	7
16		[16]	2
17		[15, 17]	12
18		[16, 18]	12
19		[15, 19]	12


Forwarding Table for Node 13 at TIME_STEP 9:
Destination	Path	Cost
0		[15, 19, 0]	16
1		[8, 2, 1]	15
2		[8, 2]	6
3		[8, 3]	7
4		[8, 3, 7, 4]	15
5		[8, 3, 7, 4, 5]	18
6		[8, 6]	14
7		[8, 3, 7]	8
8		[8]	5
9		[8, 9]	12
10		[8, 9, 10]	18
11		[8, 9, 11]	17
12		[8, 12]	14
14		[14]	5
15		[15]	9
16		[16]	7
17		[15, 17]	17
18		[16, 18]	14
19		[15, 19]	13


Forwarding Table for Node 13 at TIME_STEP 10:
Destination	Path	Cost
0		[15, 19, 0]	12
1		[8, 2, 1]	15
2		[8, 2]	6
3		[8, 2, 3]	7
4		[8, 2, 7, 4]	11
5		[8, 2, 7, 6, 5]	14
6		[8, 2, 7, 6]	9
7		[8, 2, 7]	8
8		[8]	5
9		[8, 12, 9]	10
10		[8, 12, 9, 10]	17
11		[8, 12, 9, 11]	16
12		[8, 12]	6
14		[14]	5
15		[15]	1
16		[16]	9
17		[15, 17]	5
18		[16, 18]	11
19		[15, 19]	4


Forwarding Table for Node 13 at TIME_STEP 11:
Destination	Path	Cost
0		[2, 1, 0]	9
1		[2, 1]	4
2		[2]	2
3		[2, 3]	4
4		[2, 7, 4]	15
5		[2, 7, 6, 5]	10
6		[2, 7, 6]	7
7		[2, 7]	6
8		[2, 8]	4
9		[2, 8, 9]	6
10		[2, 8, 9, 10]	14
11		[2, 8, 9, 11]	10
12		[2, 8, 12]	9
14		[14]	7
15		[15]	1
16		[16]	6
17		[15, 17]	2
18		[16, 18]	14
19		[15, 19]	8


Forwarding Table for Node 13 at TIME_STEP 12:
Destination	Path	Cost
0		[2, 1, 0]	21
1		[2, 1]	15
2		[2]	8
3		[8, 3]	13
4		[2, 7, 4]	14
5		[8, 6, 5]	13
6		[8, 6]	7
7		[2, 7]	10
8		[8]	6
9		[8, 9]	10
10		[8, 9, 10]	13
11		[8, 9, 11]	14
12		[8, 9, 12]	11
14		[14]	5
15		[15]	10
16		[16]	4
17		[15, 17]	17
18		[16, 18]	5
19		[15, 19]	19


Forwarding Table for Node 13 at TIME_STEP 13:
Destination	Path	Cost
0		[2, 1, 0]	17
1		[2, 1]	8
2		[2]	4
3		[2, 3]	8
4		[2, 7, 4]	20
5		[2, 8, 6, 5]	23
6		[2, 8, 6]	13
7		[2, 7]	12
8		[2, 8]	6
9		[2, 8, 12, 9]	12
10		[2, 8, 12, 9, 10]	13
11		[2, 8, 12, 9, 11]	16
12		[2, 8, 12]	7
14		[14]	9
15		[15]	6
16		[16]	6
17		[15, 17]	7
18		[16, 18]	12
19		[15, 19]	14


Forwarding Table for Node 13 at TIME_STEP 14:
Destination	Path	Cost
0		[2, 1, 0]	4
1		[2, 1]	3
2		[2]	1
3		[8, 3]	6
4		[2, 7, 4]	9
5		[2, 7, 4, 5]	10
6		[8, 6]	8
7		[2, 7]	5
8		[8]	2
9		[8, 9]	4
10		[8, 9, 10]	12
11		[8, 9, 11]	13
12		[8, 12]	6
14		[14]	4
15		[15]	4
16		[16]	3
17		[15, 17]	9
18		[16, 18]	4
19		[2, 1, 0, 19]	7


Forwarding Table for Node 13 at TIME_STEP 15:
Destination	Path	Cost
0		[15, 19, 0]	19
1		[2, 1]	15
2		[2]	8
3		[8, 3]	9
4		[8, 6, 7, 4]	13
5		[8, 6, 5]	17
6		[8, 6]	8
7		[8, 6, 7]	12
8		[8]	4
9		[8, 9]	5
10		[8, 9, 10]	7
11		[8, 9, 11]	14
12		[8, 9, 12]	9
14		[14]	7
15		[15]	7
16		[16]	1
17		[15, 17]	8
18		[16, 18]	2
19		[15, 19]	11


Forwarding Table for Node 13 at TIME_STEP 16:
Destination	Path	Cost
0		[15, 19, 0]	10
1		[2, 1]	11
2		[2]	9
3		[2, 3]	12
4		[8, 6, 5, 4]	17
5		[8, 6, 5]	10
6		[8, 6]	8
7		[2, 7]	12
8		[8]	4
9		[8, 9]	7
10		[8, 9, 10]	15
11		[8, 9, 11]	13
12		[8, 12]	6
14		[14]	7
15		[15]	1
16		[16]	8
17		[15, 17]	6
18		[16, 18]	10
19		[15, 19]	4


Forwarding Table for Node 13 at TIME_STEP 17:
Destination	Path	Cost
0		[2, 1, 0]	18
1		[2, 1]	13
2		[2]	3
3		[2, 8, 3]	9
4		[2, 7, 4]	21
5		[2, 8, 6, 5]	18
6		[2, 8, 6]	14
7		[2, 7]	12
8		[2, 8]	4
9		[2, 8, 9]	5
10		[2, 8, 9, 10]	9
11		[2, 8, 9, 11]	13
12		[2, 8, 9, 12]	7
14		[14]	10
15		[15]	10
16		[16]	8
17		[15, 17]	15
18		[16, 18]	12
19		[15, 19]	15


Forwarding Table for Node 13 at TIME_STEP 18:
Destination	Path	Cost
0		[2, 1, 0]	6
1		[2, 1]	4
2		[2]	3
3		[8, 3]	10
4		[2, 7, 4]	10
5		[2, 7, 4, 5]	11
6		[8, 6]	10
7		[2, 7]	9
8		[8]	1
9		[8, 9]	7
10		[8, 9, 10]	13
11		[8, 9, 11]	8
12		[8, 12]	9
14		[14]	1
15		[15]	3
16		[16]	2
17		[15, 17]	8
18		[16, 18]	11
19		[15, 19]	4


Forwarding Table for Node 13 at TIME_STEP 19:
Destination	Path	Cost
0		[2, 1, 0]	8
1		[2, 1]	5
2		[2]	1
3		[2, 3]	5
4		[2, 7, 4]	16
5		[8, 6, 5]	19
6		[8, 6]	10
7		[2, 7]	8
8		[8]	1
9		[8, 9]	2
10		[8, 9, 10]	6
11		[8, 9, 11]	6
12		[8, 12]	3
14		[14]	10
15		[15]	2
16		[16]	6
17		[15, 17]	10
18		[16, 18]	16
19		[15, 19]	6


