Forwarding Table for Node 10 at TIME_STEP 0:
Destination	Path	Cost
0		[9, 12, 8, 2, 1, 0]	27
1		[9, 12, 8, 2, 1]	17
2		[9, 12, 8, 2]	10
3		[9, 12, 8, 3]	8
4		[9, 12, 8, 3, 7, 4]	24
5		[9, 12, 8, 6, 5]	21
6		[9, 12, 8, 6]	14
7		[9, 12, 8, 3, 7]	15
8		[9, 12, 8]	4
9		[9]	1
11		[9, 11]	6
12		[9, 12]	2
13		[9, 12, 8, 13]	12
14		[9, 12, 8, 13, 14]	20
15		[9, 12, 8, 13, 15]	17
16		[9, 12, 8, 13, 16]	15
17		[9, 12, 8, 13, 15, 17]	18
18		[9, 12, 8, 13, 16, 18]	24
19		[9, 12, 8, 13, 15, 19]	19


Forwarding Table for Node 10 at TIME_STEP 1:
Destination	Path	Cost
0		[9, 8, 2, 1, 0]	23
1		[9, 8, 2, 1]	21
2		[9, 8, 2]	14
3		[9, 8, 2, 3]	15
4		[9, 8, 2, 7, 4]	25
5		[9, 8, 6, 5]	20
6		[9, 8, 6]	19
7		[9, 8, 2, 7]	21
8		[9, 8]	11
9		[9]	4
11		[9, 11]	10
12		[9, 12]	11
13		[9, 8, 13]	12
14		[9, 8, 13, 14]	20
15		[9, 8, 13, 15]	22
16		[9, 8, 13, 16]	18
17		[9, 8, 13, 15, 17]	25
18		[9, 8, 13, 16, 18]	23
19		[9, 8, 13, 15, 19]	29


Forwarding Table for Node 10 at TIME_STEP 2:
Destination	Path	Cost
0		[9, 8, 2, 1, 0]	34
1		[9, 8, 2, 1]	28
2		[9, 8, 2]	26
3		[9, 8, 3]	24
4		[9, 8, 6, 7, 4]	28
5		[9, 8, 6, 5]	24
6		[9, 8, 6]	21
7		[9, 8, 6, 7]	23
8		[9, 8]	17
9		[9]	8
11		[9, 11]	11
12		[9, 12]	13
13		[9, 8, 13]	25
14		[9, 8, 13, 14]	28
15		[9, 8, 13, 15]	34
16		[9, 8, 13, 16]	35
17		[9, 8, 13, 15, 17]	43
18		[9, 8, 13, 16, 18]	37
19		[9, 8, 2, 1, 0, 19]	42


Forwarding Table for Node 10 at TIME_STEP 3:
Destination	Path	Cost
0		[9, 8, 2, 1, 0]	28
1		[9, 8, 2, 1]	26
2		[9, 8, 2]	17
3		[9, 8, 3]	15
4		[9, 8, 6, 7, 4]	24
5		[9, 8, 6, 5]	20
6		[9, 8, 6]	13
7		[9, 8, 6, 7]	21
8		[9, 8]	8
9		[9]	5
11		[9, 11]	9
12		[9, 12]	11
13		[9, 8, 13]	15
14		[9, 8, 13, 14]	18
15		[9, 8, 13, 15]	25
16		[9, 8, 13, 16]	16
17		[9, 8, 13, 15, 17]	32
18		[9, 8, 13, 16, 18]	17
19		[9, 8, 13, 15, 19]	27


Forwarding Table for Node 10 at TIME_STEP 4:
Destination	Path	Cost
0		[9, 8, 2, 1, 0]	17
