Forwarding Table for Node 17 at TIME_STEP 0:
Destination	Path	Cost
0		[15, 19, 0]	13
1		[15, 19, 0, 1]	17
2		[15, 13, 2]	14
3		[15, 13, 2, 3]	15
4		[15, 13, 8, 6, 7, 4]	27
5		[15, 13, 8, 6, 5]	21
6		[15, 13, 8, 6]	16
7		[15, 13, 8, 6, 7]	18
8		[15, 13, 8]	15
9		[15, 13, 8, 9]	17
10		[15, 13, 8, 9, 10]	25
11		[15, 13, 8, 9, 11]	22
12		[15, 13, 8, 12]	17
13		[15, 13]	10
14		[15, 13, 14]	18
15		[15]	2
16		[15, 13, 16]	13
18		[15, 13, 16, 18]	22
19		[15, 19]	4


Forwarding Table for Node 17 at TIME_STEP 1:
Destination	Path	Cost
0		[15, 19, 0]	12
1		[15, 13, 8, 2, 1]	16
2		[15, 13, 8, 2]	9
3		[15, 13, 8, 2, 3]	10
4		[15, 13, 8, 2, 7, 4]	20
5		[15, 13, 8, 6, 5]	15
6		[15, 13, 8, 6]	14
7		[15, 13, 8, 2, 7]	16
8		[15, 13, 8]	6
9		[15, 13, 8, 9]	9
10		[15, 13, 8, 9, 10]	12
11		[15, 13, 8, 9, 11]	15
12		[15, 13, 8, 12]	13
13		[15, 13]	4
14		[15, 13, 14]	12
15		[15]	3
16		[15, 13, 16]	10
18		[15, 13, 16, 18]	15
19		[15, 19]	10


Forwarding Table for Node 17 at TIME_STEP 2:
Destination	Path	Cost
0		[15, 19, 0]	18
1		[15, 13, 2, 1]	18
2		[15, 13, 2]	16
3		[15, 13, 2, 3]	18
4		[15, 13, 2, 7, 4]	27
5		[15, 13, 8, 6, 5]	25
6		[15, 13, 8, 6]	22
7		[15, 13, 2, 7]	22
8		[15, 13, 8]	18
9		[15, 13, 8, 9]	23
10		[15, 13, 8, 9, 10]	25
11		[15, 13, 8, 9, 11]	26
12		[15, 13, 8, 12]	27
13		[15, 13]	9
14		[15, 13, 14]	12
15		[15]	4
16		[15, 13, 16]	19
18		[15, 13, 16, 18]	21
19		[15, 19]	13


Forwarding Table for Node 17 at TIME_STEP 3:
Destination	Path	Cost
0		[15, 19, 0]	11
1		[15, 19, 0, 1]	12
2		[15, 13, 2]	14
3		[15, 13, 2, 3]	16
4		[15, 13, 2, 7, 4]	22
5		[15, 13, 2, 7, 4, 5]	26
6		[15, 13, 8, 6]	22
7		[15, 13, 2, 7]	19
8		[15, 13, 8]	17
9		[15, 13, 8, 9]	20
10		[15, 13, 8, 9, 10]	26
11		[15, 13, 8, 9, 11]	24
12		[15, 13, 8, 12]	21
13		[15, 13]	12
14		[15, 13, 14]	17
15		[15]	6
16		[15, 13, 16]	21
18		[15, 13, 16, 18]	22
19		[15, 19]	8


Forwarding Table for Node 17 at TIME_STEP 4:
Destination	Path	Cost
0		[15, 19, 0]	21
1		[15, 19, 0, 1]	25
2		[15, 13, 2]	22
3		[15, 13, 2, 3]	24
4		[15, 13, 2, 8, 6, 5, 4]	33
5		[15, 13, 2, 8, 6, 5]	32
6		[15, 13, 2, 8, 6]	26
7		[15, 13, 2, 7]	27
8		[15, 13, 2, 8]	23
9		[15, 13, 2, 8, 9]	29
10		[15, 13, 2, 8, 9, 10]	37
11		[15, 13, 2, 8, 9, 11]	33
12		[15, 13, 2, 8, 12]	25
13		[15, 13]	14
14		[15, 13, 14]	18
15		[15]	6
16		[15, 13, 16]	23
