Forwarding Table for Node 1 at TIME_STEP 0:
Destination	Path	Cost
0		[0]	5
2		[2]	7
3		[2, 3]	8
4		[2, 3, 7, 4]	25
5		[2, 3, 8, 6, 5]	28
6		[2, 3, 8, 6]	21
7		[2, 3, 7]	15
8		[2, 3, 8]	11
9		[2, 3, 8, 12, 9]	13
10		[2, 3, 8, 12, 9, 10]	22
11		[2, 3, 8, 12, 9, 11]	17
12		[2, 3, 8, 12]	12
13		[2, 13]	14
14		[2, 13, 14]	22
15		[2, 13, 15]	19
16		[2, 13, 16]	17
17		[2, 13, 15, 17]	20
18		[2, 13, 16, 18]	26
19		[0, 19]	15


Forwarding Table for Node 1 at TIME_STEP 1:
Destination	Path	Cost
0		[0]	10
2		[2]	6
3		[2, 3]	7
4		[2, 7, 4]	22
5		[2, 3, 8, 6, 5]	22
6		[2, 3, 8, 6]	13
7		[2, 7]	13
8		[2, 3, 8]	9
9		[2, 3, 8, 9]	18
10		[2, 3, 8, 9, 10]	28
11		[2, 3, 8, 9, 11]	19
12		[2, 3, 8, 12]	16
13		[2, 3, 8, 13]	12
14		[2, 3, 8, 13, 14]	20
15		[2, 3, 8, 13, 15]	22
16		[2, 3, 8, 13, 16]	18
17		[2, 3, 8, 13, 15, 17]	31
18		[2, 3, 8, 13, 16, 18]	22
19		[0, 19]	20


Forwarding Table for Node 1 at TIME_STEP 2:
Destination	Path	Cost
0		[0]	9
2		[2]	9
3		[2, 3]	11
4		[2, 7, 4]	23
5		[2, 8, 6, 5]	23
6		[2, 8, 6]	19
7		[2, 7]	15
8		[2, 8]	13
9		[2, 8, 9]	18
10		[2, 8, 9, 10]	28
11		[2, 8, 9, 11]	26
12		[2, 8, 12]	14
13		[2, 13]	14
14		[2, 13, 14]	17
15		[2, 13, 15]	23
16		[2, 13, 16]	24
17		[2, 13, 15, 17]	31
18		[2, 13, 16, 18]	33
19		[0, 19]	17


Forwarding Table for Node 1 at TIME_STEP 3:
Destination	Path	Cost
0		[0]	2
2		[2]	9
3		[2, 3]	11
4		[2, 7, 4]	16
5		[2, 7, 4, 5]	20
6		[2, 8, 6]	17
7		[2, 7]	14
8		[2, 8]	15
9		[2, 8, 9]	23
10		[2, 8, 9, 10]	26
11		[2, 8, 9, 11]	33
12		[2, 8, 12]	22
13		[2, 13]	14
14		[2, 13, 14]	17
15		[0, 19, 15]	20
16		[2, 13, 16]	15
17		[0, 19, 15, 17]	26
18		[2, 13, 16, 18]	25
19		[0, 19]	10


Forwarding Table for Node 1 at TIME_STEP 4:
Destination	Path	Cost
0		[0]	6
2		[2]	8
3		[2, 3]	10
4		[2, 7, 4]	20
5		[2, 8, 6, 5]	19
6		[2, 8, 6]	14
7		[2, 7]	13
8		[2, 8]	9
9		[2, 8, 12, 9]	12
10		[2, 8, 12, 9, 10]	15
11		[2, 8, 12, 9, 11]	17
12		[2, 8, 12]	11
13		[2, 13]	12
14		[2, 13, 14]	19
15		[2, 13, 15]	20
16		[2, 13, 16]	22
17		[2, 13, 15, 17]	28
18		[2, 13, 16, 18]	32
19		[0, 19]	14


Forwarding Table for Node 1 at TIME_STEP 5:
Destination	Path	Cost
0		[0]	5
2		[2]	7
3		[2, 8, 3]	13
4		[2, 7, 4]	16
5		[2, 8, 6, 5]	18
6		[2, 8, 6]	14
7		[2, 7]	10
8		[2, 8]	8
9		[2, 8, 9]	9
10		[2, 8, 9, 10]	13
11		[2, 8, 9, 11]	14
12		[2, 8, 12]	13
13		[2, 13]	10
14		[2, 13, 14]	19
15		[2, 13, 15]	14
16		[2, 13, 16]	12
17		[2, 13, 15, 17]	21
18		[2, 13, 16, 18]	15
