Forwarding Table for Node 8 at TIME_STEP 0:
Destination	Path	Cost
0		[2, 1, 0]	23
1		[2, 1]	13
2		[2]	6
3		[3]	4
4		[3, 7, 4]	20
5		[6, 5]	17
6		[6]	10
7		[3, 7]	11
9		[12, 9]	2
10		[12, 9, 10]	10
11		[12, 9, 11]	7
12		[12]	1
13		[13]	8
14		[13, 14]	16
15		[13, 15]	13
16		[13, 16]	11
17		[13, 15, 17]	14
18		[13, 16, 18]	20
19		[13, 15, 19]	15


Forwarding Table for Node 8 at TIME_STEP 1:
Destination	Path	Cost
0		[2, 1, 0]	12
1		[2, 1]	10
2		[2]	3
3		[2, 3]	4
4		[6, 7, 4]	13
5		[6, 5]	17
6		[6]	8
7		[6, 7]	9
9		[9]	3
10		[9, 10]	6
11		[9, 11]	9
12		[12]	7
13		[13]	1
14		[13, 14]	9
15		[13, 15]	11
16		[13, 16]	7
17		[13, 15, 17]	20
18		[13, 16, 18]	11
19		[13, 15, 19]	14


Forwarding Table for Node 8 at TIME_STEP 2:
Destination	Path	Cost
0		[2, 1, 0]	16
1		[2, 1]	10
2		[2]	8
3		[3]	7
4		[6, 7, 4]	17
5		[6, 5]	10
6		[6]	6
7		[6, 7]	12
9		[9]	5
10		[9, 10]	7
11		[9, 11]	8
12		[12]	1
13		[13]	1
14		[13, 14]	4
15		[13, 15]	10
16		[13, 16]	11
17		[13, 15, 17]	18
18		[13, 16, 18]	20
19		[13, 15, 19]	15


Forwarding Table for Node 8 at TIME_STEP 3:
Destination	Path	Cost
0		[2, 1, 0]	16
1		[2, 1]	14
2		[2]	5
3		[3]	5
4		[6, 7, 4]	7
5		[6, 5]	7
6		[6]	2
7		[6, 7]	4
9		[9]	8
10		[9, 10]	14
11		[9, 11]	12
12		[12]	7
13		[13]	9
14		[13, 14]	12
15		[13, 15]	19
16		[13, 16]	10
17		[13, 15, 17]	25
18		[13, 16, 18]	20
19		[2, 1, 0, 19]	24


Forwarding Table for Node 8 at TIME_STEP 4:
Destination	Path	Cost
0		[2, 1, 0]	12
1		[2, 1]	6
2		[2]	2
3		[2, 3]	4
4		[2, 7, 4]	16
5		[6, 5]	8
6		[6]	3
7		[2, 7]	7
9		[12, 9]	3
10		[12, 9, 10]	11
11		[12, 9, 11]	7
12		[12]	2
13		[2, 13]	6
14		[2, 13, 14]	13
15		[2, 13, 15]	14
16		[2, 13, 16]	16
17		[2, 13, 15, 17]	22
18		[2, 13, 16, 18]	26
19		[2, 13, 15, 19]	15


Forwarding Table for Node 8 at TIME_STEP 5:
Destination	Path	Cost
0		[13, 15, 19, 0]	10
1		[13, 2, 1]	15
2		[13, 2]	7
3		[3]	5
4		[6, 7, 4]	17
5		[6, 5]	10
6		[6]	6
7		[6, 7]	8
9		[9]	1
10		[9, 10]	5
11		[9, 11]	9
12		[12]	5
13		[13]	2
14		[13, 14]	11
15		[13, 15]	6
16		[13, 16]	4
17		[13, 15, 17]	13
18		[13, 16, 18]	7
19		[13, 15, 19]	7


Forwarding Table for Node 8 at TIME_STEP 6:
Destination	Path	Cost
0		[13, 15, 19, 0]	19
1		[2, 1]	12
2		[2]	10
3		[3]	4
4		[3, 7, 4]	10
5		[6, 5]	10
6		[6]	4
7		[3, 7]	6
9		[9]	3
10		[9, 10]	13
11		[9, 11]	7
12		[12]	1
13		[13]	8
14		[13, 14]	11
15		[13, 15]	14
16		[13, 16]	18
17		[13, 15, 17]	24
18		[13, 16, 18]	19
19		[13, 15, 19]	16


Forwarding Table for Node 8 at TIME_STEP 7:
Destination	Path	Cost
0		[2, 1, 0]	11
1		[2, 1]	9
2		[2]	5
3		[3]	9
4		[2, 7, 4]	12
5		[6, 5]	13
6		[6]	10
7		[2, 7]	11
9		[9]	1
10		[9, 10]	8
11		[9, 11]	4
12		[9, 12]	4
13		[13]	6
14		[13, 14]	16
15		[13, 15]	11
16		[13, 16]	13
17		[13, 15, 17]	21
18		[13, 16, 18]	18
19		[2, 1, 0, 19]	12


Forwarding Table for Node 8 at TIME_STEP 8:
Destination	Path	Cost
0		[13, 15, 19, 0]	20
1		[2, 1]	13
2		[2]	4
3		[3]	9
4		[6, 7, 4]	15
5		[6, 5]	10
6		[6]	3
7		[6, 7]	11
9		[12, 9]	2
10		[12, 9, 10]	9
11		[12, 9, 11]	12
12		[12]	1
13		[13]	6
14		[13, 14]	9
15		[13, 15]	8
16		[13, 16]	16
