Forwarding Table for Node 6 at TIME_STEP 0:
Destination	Path	Cost
0		[8, 13, 15, 19, 0]	21
1		[8, 13, 2, 1]	16
2		[8, 13, 2]	9
3		[8, 3]	8
4		[5, 4]	15
5		[5]	7
7		[7]	9
8		[8]	2
9		[8, 9]	4
10		[8, 9, 10]	12
11		[8, 9, 11]	9
12		[8, 12]	4
13		[8, 13]	5
14		[8, 13, 14]	13
15		[8, 13, 15]	10
16		[8, 13, 16]	8
17		[8, 13, 15, 17]	11
18		[8, 13, 16, 18]	17
19		[8, 13, 15, 19]	12


Forwarding Table for Node 6 at TIME_STEP 1:
Destination	Path	Cost
0		[8, 2, 1, 0]	13
1		[8, 2, 1]	11
2		[8, 2]	4
3		[7, 3]	3
4		[7, 4]	5
5		[5]	9
7		[7]	1
8		[8]	1
9		[8, 9]	4
10		[8, 9, 10]	7
11		[8, 9, 11]	10
12		[8, 12]	8
13		[8, 13]	2
14		[8, 13, 14]	10
15		[8, 13, 15]	12
16		[8, 13, 16]	8
17		[8, 13, 15, 17]	21
18		[8, 13, 16, 18]	12
19		[8, 13, 15, 19]	15


Forwarding Table for Node 6 at TIME_STEP 2:
Destination	Path	Cost
0		[7, 2, 1, 0]	18
1		[7, 2, 1]	12
2		[7, 2]	10
3		[7, 3]	9
4		[5, 4]	11
5		[5]	4
7		[7]	6
8		[8]	4
9		[8, 9]	9
10		[8, 9, 10]	11
11		[8, 9, 11]	12
12		[8, 12]	13
13		[8, 13]	12
14		[8, 13, 14]	15
15		[8, 13, 15]	21
16		[8, 13, 16]	22
17		[8, 13, 15, 17]	29
18		[8, 13, 16, 18]	31
19		[7, 2, 1, 0, 19]	26


Forwarding Table for Node 6 at TIME_STEP 3:
Destination	Path	Cost
0		[7, 2, 1, 0]	18
1		[7, 2, 1]	16
2		[7, 2]	7
3		[7, 3]	8
4		[7, 4]	5
5		[5]	5
7		[7]	2
8		[8]	2
9		[8, 9]	5
10		[8, 9, 10]	11
11		[8, 9, 11]	9
12		[8, 12]	6
13		[8, 13]	9
14		[8, 13, 14]	12
15		[8, 13, 15]	19
16		[8, 13, 16]	10
17		[8, 13, 15, 17]	25
18		[8, 13, 16, 18]	20
19		[7, 2, 1, 0, 19]	26


Forwarding Table for Node 6 at TIME_STEP 4:
Destination	Path	Cost
0		[8, 2, 1, 0]	21
