Forwarding Table for Node 15 at TIME_STEP 0:
Destination	Path	Cost
0		[19, 0]	11
1		[19, 0, 1]	15
2		[13, 2]	12
3		[13, 2, 3]	13
4		[13, 8, 6, 7, 4]	25
5		[13, 8, 6, 5]	19
6		[13, 8, 6]	14
7		[13, 8, 6, 7]	16
8		[13, 8]	13
9		[13, 8, 9]	15
10		[13, 8, 9, 10]	23
11		[13, 8, 9, 11]	20
12		[13, 8, 12]	15
13		[13]	8
14		[13, 14]	16
16		[13, 16]	11
17		[17]	1
18		[13, 16, 18]	20
19		[19]	2


Forwarding Table for Node 15 at TIME_STEP 1:
Destination	Path	Cost
0		[19, 0]	9
1		[13, 8, 2, 1]	13
2		[13, 8, 2]	6
3		[13, 8, 2, 3]	7
4		[13, 8, 2, 7, 4]	17
5		[13, 8, 6, 5]	12
6		[13, 8, 6]	11
7		[13, 8, 2, 7]	13
8		[13, 8]	3
9		[13, 8, 9]	6
10		[13, 8, 9, 10]	9
11		[13, 8, 9, 11]	12
12		[13, 8, 12]	10
13		[13]	1
14		[13, 14]	9
16		[13, 16]	7
17		[17]	3
18		[13, 16, 18]	12
19		[19]	7


Forwarding Table for Node 15 at TIME_STEP 2:
Destination	Path	Cost
0		[19, 0]	14
1		[13, 2, 1]	14
2		[13, 2]	12
3		[13, 2, 3]	14
4		[13, 2, 7, 4]	23
5		[13, 8, 6, 5]	21
6		[13, 8, 6]	18
7		[13, 2, 7]	18
8		[13, 8]	14
9		[13, 8, 9]	19
10		[13, 8, 9, 10]	21
11		[13, 8, 9, 11]	22
12		[13, 8, 12]	23
13		[13]	5
14		[13, 14]	8
16		[13, 16]	15
17		[17]	9
18		[13, 16, 18]	17
19		[19]	9


Forwarding Table for Node 15 at TIME_STEP 3:
Destination	Path	Cost
0		[19, 0]	11
1		[19, 0, 1]	12
2		[13, 2]	16
3		[13, 2, 3]	18
4		[13, 2, 7, 4]	24
5		[13, 8, 6, 5]	24
6		[13, 8, 6]	17
7		[13, 2, 7]	21
8		[13, 8]	12
9		[13, 8, 9]	15
10		[13, 8, 9, 10]	21
11		[13, 8, 9, 11]	19
12		[13, 8, 12]	16
13		[13]	6
14		[13, 14]	9
16		[13, 16]	7
17		[17]	7
18		[13, 16, 18]	8
19		[19]	2


Forwarding Table for Node 15 at TIME_STEP 4:
Destination	Path	Cost
0		[19, 0]	16
1		[19, 0, 1]	20
2		[13, 8, 2]	16
3		[13, 8, 2, 3]	18
4		[13, 8, 6, 5, 4]	24
5		[13, 8, 6, 5]	23
6		[13, 8, 6]	17
7		[13, 8, 6, 7]	19
8		[13, 8]	14
9		[13, 8, 12, 9]	17
10		[13, 8, 12, 9, 10]	25
11		[13, 8, 12, 9, 11]	21
12		[13, 8, 12]	16
13		[13]	8
14		[13, 14]	15
16		[13, 16]	18
17		[17]	7
18		[13, 16, 18]	28
19		[19]	6


Forwarding Table for Node 15 at TIME_STEP 5:
Destination	Path	Cost
0		[19, 0]	12
1		[13, 2, 1]	16
2		[13, 2]	8
3		[13, 8, 3]	7
4		[13, 8, 6, 5, 4]	13
5		[13, 8, 6, 5]	12
6		[13, 8, 6]	7
7		[13, 2, 7]	11
8		[13, 8]	5
9		[13, 8, 9]	13
10		[13, 8, 9, 10]	17
11		[13, 8, 9, 11]	21
12		[13, 8, 12]	9
13		[13]	3
14		[13, 14]	12
16		[13, 16]	5
17		[17]	9
18		[13, 16, 18]	15
19		[19]	9


Forwarding Table for Node 15 at TIME_STEP 6:
Destination	Path	Cost
0		[19, 0]	6
1		[19, 0, 1]	14
2		[13, 2]	12
3		[13, 2, 3]	19
4		[13, 2, 7, 4]	22
5		[13, 2, 8, 6, 5]	24
6		[13, 2, 8, 6]	22
7		[13, 2, 7]	18
8		[13, 2, 8]	14
9		[13, 2, 8, 9]	18
10		[13, 2, 8, 9, 10]	28
11		[13, 2, 8, 9, 11]	22
12		[13, 2, 8, 9, 12]	21
13		[13]	10
14		[13, 14]	13
16		[13, 16]	20
17		[17]	7
18		[13, 16, 18]	29
19		[19]	3


Forwarding Table for Node 15 at TIME_STEP 7:
Destination	Path	Cost
0		[19, 0]	11
1		[13, 2, 1]	15
2		[13, 2]	11
3		[13, 2, 3]	18
4		[13, 2, 7, 4]	18
5		[13, 8, 6, 5]	25
6		[13, 8, 6]	20
7		[13, 2, 7]	17
8		[13, 8]	15
9		[13, 8, 12, 9]	23
10		[13, 8, 12, 9, 10]	30
11		[13, 8, 12, 9, 11]	26
12		[13, 8, 12]	18
13		[13]	5
14		[13, 14]	15
16		[13, 16]	12
17		[17]	3
18		[13, 16, 18]	13
19		[19]	7


Forwarding Table for Node 15 at TIME_STEP 8:
Destination	Path	Cost
0		[19, 0]	15
1		[13, 2, 1]	19
2		[13, 2]	10
3		[13, 2, 3]	15
4		[13, 2, 7, 4]	22
5		[13, 8, 6, 5]	21
6		[13, 8, 6]	14
7		[13, 2, 7]	18
8		[13, 8]	11
9		[13, 8, 9]	16
10		[13, 8, 9, 10]	23
11		[13, 8, 9, 11]	26
12		[13, 8, 12]	17
13		[13]	9
14		[13, 14]	12
16		[13, 16]	19
17		[17]	5
18		[13, 16, 18]	29
19		[19]	5


Forwarding Table for Node 15 at TIME_STEP 9:
Destination	Path	Cost
0		[19, 0]	10
1		[19, 0, 1]	14
2		[13, 8, 2]	11
3		[13, 8, 3]	12
4		[13, 8, 3, 7, 4]	20
5		[13, 8, 3, 7, 4, 5]	23
6		[13, 8, 6]	19
7		[13, 8, 3, 7]	13
8		[13, 8]	10
9		[13, 8, 9]	17
10		[13, 8, 9, 10]	23
11		[13, 8, 9, 11]	22
12		[13, 8, 12]	19
13		[13]	5
14		[13, 14]	10
16		[13, 16]	12
17		[17]	8
18		[13, 16, 18]	19
19		[19]	4


Forwarding Table for Node 15 at TIME_STEP 10:
Destination	Path	Cost
0		[19, 0]	9
1		[19, 0, 1]	19
2		[13, 8, 2]	15
3		[13, 8, 2, 3]	16
4		[13, 8, 2, 7, 4]	20
5		[13, 8, 2, 7, 6, 5]	23
6		[13, 8, 2, 7, 6]	18
7		[13, 8, 2, 7]	17
8		[13, 8]	14
9		[13, 8, 9]	21
10		[13, 8, 9, 10]	28
11		[13, 8, 9, 11]	27
12		[13, 8, 12]	15
13		[13]	9
14		[13, 14]	14
16		[13, 16]	18
17		[17]	4
18		[13, 16, 18]	20
19		[19]	3


Forwarding Table for Node 15 at TIME_STEP 11:
Destination	Path	Cost
0		[13, 2, 1, 0]	10
1		[13, 2, 1]	5
2		[13, 2]	3
3		[13, 2, 3]	5
4		[13, 2, 7, 4]	16
5		[13, 2, 7, 6, 5]	11
6		[13, 2, 7, 6]	8
7		[13, 2, 7]	7
8		[13, 2, 8]	5
9		[13, 2, 8, 9]	7
10		[13, 2, 8, 9, 10]	15
11		[13, 2, 8, 9, 11]	11
12		[13, 2, 8, 12]	10
13		[13]	1
14		[13, 14]	8
16		[13, 16]	7
17		[17]	1
18		[13, 16, 18]	15
19		[19]	7


Forwarding Table for Node 15 at TIME_STEP 12:
Destination	Path	Cost
0		[19, 0]	13
1		[13, 2, 1]	19
2		[13, 2]	12
3		[13, 8, 3]	17
4		[13, 2, 7, 4]	18
5		[13, 8, 6, 5]	17
6		[13, 8, 6]	11
7		[13, 2, 7]	14
8		[13, 8]	10
9		[13, 8, 9]	14
10		[13, 8, 9, 10]	17
11		[13, 8, 9, 11]	18
12		[13, 8, 9, 12]	15
13		[13]	4
14		[13, 14]	9
16		[13, 16]	8
17		[17]	7
18		[13, 16, 18]	9
19		[19]	9


Forwarding Table for Node 15 at TIME_STEP 13:
Destination	Path	Cost
0		[19, 0]	12
1		[13, 2, 1]	16
2		[13, 2]	12
3		[13, 2, 3]	16
4		[13, 2, 7, 4]	28
5		[13, 2, 8, 6, 5]	31
6		[13, 2, 8, 6]	21
7		[13, 2, 7]	20
8		[13, 2, 8]	14
9		[13, 2, 8, 12, 9]	17
10		[13, 2, 8, 12, 9, 10]	18
11		[13, 2, 8, 12, 9, 11]	21
12		[13, 2, 8, 12]	15
13		[13]	8
14		[13, 14]	17
16		[13, 16]	14
17		[17]	1
18		[13, 16, 18]	20
19		[19]	8


Forwarding Table for Node 15 at TIME_STEP 14:
Destination	Path	Cost
0		[19, 0]	2
1		[19, 0, 1]	6
2		[19, 0, 1, 2]	11
3		[13, 8, 3]	16
4		[19, 0, 1, 2, 7, 4]	19
5		[19, 0, 1, 2, 7, 4, 5]	20
6		[13, 8, 6]	18
7		[19, 0, 1, 2, 7]	15
8		[13, 8]	12
9		[13, 8, 9]	14
10		[13, 8, 9, 10]	22
11		[13, 8, 9, 11]	23
12		[13, 8, 12]	16
13		[13]	10
