Forwarding Table for Node 3 at TIME_STEP 0:
Destination	Path	Cost
0		[2, 1, 0]	21
1		[2, 1]	16
2		[2]	9
4		[7, 4]	17
5		[8, 6, 5]	20
6		[8, 6]	13
7		[7]	7
8		[8]	3
9		[8, 12, 9]	5
10		[8, 12, 9, 10]	14
11		[8, 12, 9, 11]	9
12		[8, 12]	4
13		[8, 13]	11
14		[8, 13, 14]	19
15		[8, 13, 15]	16
16		[8, 13, 16]	14
17		[8, 13, 15, 17]	17
18		[8, 13, 16, 18]	23
19		[8, 13, 15, 19]	18


Forwarding Table for Node 3 at TIME_STEP 1:
Destination	Path	Cost
0		[8, 13, 15, 19, 0]	20
1		[8, 2, 1]	11
2		[8, 2]	4
4		[7, 4]	15
5		[8, 6, 5]	15
6		[8, 6]	6
7		[7]	6
8		[8]	2
9		[8, 9]	11
10		[8, 9, 10]	21
11		[8, 9, 11]	12
12		[8, 12]	9
13		[8, 13]	5
14		[8, 13, 14]	13
15		[8, 13, 15]	15
16		[8, 13, 16]	11
17		[8, 13, 15, 17]	24
18		[8, 13, 16, 18]	15
19		[8, 13, 15, 19]	18


Forwarding Table for Node 3 at TIME_STEP 2:
Destination	Path	Cost
0		[2, 1, 0]	17
1		[2, 1]	8
2		[2]	6
4		[7, 4]	16
5		[8, 6, 5]	20
6		[8, 6]	16
7		[7]	8
8		[8]	10
9		[8, 9]	15
10		[8, 9, 10]	25
11		[8, 9, 11]	23
12		[8, 12]	11
13		[2, 13]	11
14		[2, 13, 14]	14
15		[2, 13, 15]	20
16		[2, 13, 16]	21
17		[2, 13, 15, 17]	28
18		[2, 13, 16, 18]	30
19		[2, 1, 0, 19]	23


Forwarding Table for Node 3 at TIME_STEP 3:
Destination	Path	Cost
0		[2, 1, 0]	18
1		[2, 1]	16
2		[2]	7
4		[7, 4]	8
5		[7, 4, 5]	12
6		[7, 6]	10
7		[7]	6
8		[8]	10
9		[8, 9]	18
10		[8, 9, 10]	21
11		[8, 9, 11]	28
12		[8, 12]	17
13		[2, 13]	12
14		[2, 13, 14]	15
15		[2, 13, 15]	22
16		[2, 13, 16]	13
17		[2, 13, 15, 17]	28
18		[2, 13, 16, 18]	23
19		[2, 1, 0, 19]	21


Forwarding Table for Node 3 at TIME_STEP 4:
Destination	Path	Cost
0		[7, 2, 1, 0]	19
1		[7, 2, 1]	10
2		[7, 2]	6
4		[7, 4]	12
5		[8, 6, 5]	13
6		[8, 6]	8
7		[7]	5
8		[8]	3
9		[8, 12, 9]	6
