Forwarding Table for Node 7 at TIME_STEP 0:
Destination	Path	Cost
0		[2, 1, 0]	27
1		[2, 1]	17
2		[2]	10
3		[3]	6
4		[4]	9
5		[6, 5]	11
6		[6]	4
8		[6, 8]	6
9		[6, 8, 12, 9]	8
10		[6, 8, 12, 9, 10]	17
11		[6, 8, 12, 9, 11]	12
12		[6, 8, 12]	7
13		[6, 8, 13]	14
14		[6, 8, 13, 14]	22
15		[6, 8, 13, 15]	19
16		[6, 8, 13, 16]	17
17		[6, 8, 13, 15, 17]	20
18		[6, 8, 13, 16, 18]	26
19		[6, 8, 13, 15, 19]	21


Forwarding Table for Node 7 at TIME_STEP 1:
Destination	Path	Cost
0		[3, 8, 2, 1, 0]	15
1		[3, 8, 2, 1]	13
2		[3, 8, 2]	6
3		[3]	2
4		[4]	4
5		[4, 5]	11
6		[6]	7
8		[3, 8]	4
9		[3, 8, 9]	13
10		[3, 8, 9, 10]	23
11		[3, 8, 9, 11]	14
12		[3, 8, 12]	11
13		[3, 8, 13]	7
14		[3, 8, 13, 14]	15
15		[3, 8, 13, 15]	17
16		[3, 8, 13, 16]	13
17		[3, 8, 13, 15, 17]	26
18		[3, 8, 13, 16, 18]	17
19		[3, 8, 13, 15, 19]	20


Forwarding Table for Node 7 at TIME_STEP 2:
Destination	Path	Cost
0		[2, 1, 0]	12
1		[2, 1]	6
2		[2]	4
3		[3]	3
4		[4]	5
5		[4, 5]	13
6		[6]	10
8		[2, 8]	8
9		[2, 8, 9]	13
10		[2, 8, 9, 10]	23
11		[2, 8, 9, 11]	21
12		[2, 8, 12]	9
13		[2, 13]	9
14		[2, 13, 14]	12
15		[2, 13, 15]	18
16		[2, 13, 16]	19
17		[2, 13, 15, 17]	26
18		[2, 13, 16, 18]	28
19		[2, 1, 0, 19]	20


Forwarding Table for Node 7 at TIME_STEP 3:
Destination	Path	Cost
0		[2, 1, 0]	16
1		[2, 1]	14
2		[2]	5
3		[3]	6
4		[4]	3
5		[4, 5]	7
6		[6]	3
8		[6, 8]	5
9		[6, 8, 9]	13
10		[6, 8, 9, 10]	16
11		[6, 8, 9, 11]	23
12		[6, 8, 12]	12
13		[2, 13]	10
14		[2, 13, 14]	13
15		[2, 13, 15]	20
16		[2, 13, 16]	11
17		[2, 13, 15, 17]	26
18		[2, 13, 16, 18]	21
19		[2, 1, 0, 19]	24


Forwarding Table for Node 7 at TIME_STEP 4:
Destination	Path	Cost
0		[2, 1, 0]	20
1		[2, 1]	14
2		[2]	10
3		[3]	10
4		[4]	9
5		[6, 5]	7
