Forwarding Table for Node 14 at TIME_STEP 0:
Destination	Path	Cost
0		[13, 15, 19, 0]	20
1		[13, 2, 1]	15
2		[13, 2]	8
3		[13, 2, 3]	9
4		[13, 8, 6, 7, 4]	21
5		[13, 8, 6, 5]	15
6		[13, 8, 6]	10
7		[13, 8, 6, 7]	12
8		[13, 8]	9
9		[13, 8, 9]	11
10		[13, 8, 9, 10]	19
11		[13, 8, 9, 11]	16
12		[13, 8, 12]	11
13		[13]	4
15		[13, 15]	9
16		[13, 16]	7
17		[13, 15, 17]	10
18		[13, 16, 18]	16
19		[13, 15, 19]	11


Forwarding Table for Node 14 at TIME_STEP 1:
Destination	Path	Cost
0		[13, 8, 2, 1, 0]	20
1		[13, 8, 2, 1]	18
2		[13, 8, 2]	11
3		[13, 8, 2, 3]	12
4		[13, 8, 2, 7, 4]	22
5		[13, 8, 6, 5]	17
6		[13, 8, 6]	16
7		[13, 8, 2, 7]	18
8		[13, 8]	8
9		[13, 8, 9]	11
10		[13, 8, 9, 10]	14
11		[13, 8, 9, 11]	17
12		[13, 8, 12]	15
13		[13]	6
15		[13, 15]	16
16		[13, 16]	12
17		[13, 15, 17]	25
18		[13, 16, 18]	17
19		[13, 15, 19]	19


Forwarding Table for Node 14 at TIME_STEP 2:
Destination	Path	Cost
0		[13, 2, 1, 0]	20
1		[13, 2, 1]	14
2		[13, 2]	12
3		[13, 2, 3]	14
4		[13, 2, 7, 4]	23
5		[13, 8, 6, 5]	21
6		[13, 8, 6]	18
7		[13, 2, 7]	18
8		[13, 8]	14
9		[13, 8, 9]	19
10		[13, 8, 9, 10]	21
11		[13, 8, 9, 11]	22
12		[13, 8, 12]	23
13		[13]	5
15		[13, 15]	14
16		[13, 16]	15
17		[13, 15, 17]	23
18		[13, 16, 18]	17
19		[13, 15, 19]	23


Forwarding Table for Node 14 at TIME_STEP 3:
Destination	Path	Cost
0		[13, 15, 19, 0]	27
1		[13, 2, 1]	25
2		[13, 2]	16
3		[13, 2, 3]	18
4		[13, 2, 7, 4]	24
5		[13, 8, 6, 5]	24
6		[13, 8, 6]	17
7		[13, 2, 7]	21
8		[13, 8]	12
9		[13, 8, 9]	15
10		[13, 8, 9, 10]	21
11		[13, 8, 9, 11]	19
12		[13, 8, 12]	16
13		[13]	6
15		[13, 15]	16
16		[13, 16]	7
17		[13, 15, 17]	23
18		[13, 16, 18]	8
19		[13, 15, 19]	18


Forwarding Table for Node 14 at TIME_STEP 4:
Destination	Path	Cost
0		[13, 8, 2, 1, 0]	28
1		[13, 8, 2, 1]	22
2		[13, 8, 2]	18
3		[13, 8, 2, 3]	20
4		[13, 8, 6, 5, 4]	26
5		[13, 8, 6, 5]	25
6		[13, 8, 6]	19
7		[13, 8, 6, 7]	21
8		[13, 8]	16
9		[13, 8, 9]	22
10		[13, 8, 9, 10]	30
11		[13, 8, 9, 11]	26
12		[13, 8, 12]	18
13		[13]	10
15		[13, 15]	18
16		[13, 16]	20
17		[13, 15, 17]	25
18		[13, 16, 18]	30
19		[13, 15, 19]	24


Forwarding Table for Node 14 at TIME_STEP 5:
Destination	Path	Cost
0		[13, 15, 19, 0]	17
1		[13, 2, 1]	14
2		[13, 2]	6
3		[13, 8, 3]	5
4		[13, 8, 6, 5, 4]	11
5		[13, 8, 6, 5]	10
6		[13, 8, 6]	5
7		[13, 2, 7]	9
8		[13, 8]	3
9		[13, 8, 9]	11
10		[13, 8, 9, 10]	15
