Forwarding Table for Node 9 at TIME_STEP 0:
Destination	Path	Cost
0		[12, 8, 2, 1, 0]	26
1		[12, 8, 2, 1]	16
2		[12, 8, 2]	9
3		[12, 8, 3]	7
4		[12, 8, 3, 7, 4]	23
5		[12, 8, 6, 5]	20
6		[12, 8, 6]	13
7		[12, 8, 3, 7]	14
8		[12, 8]	3
10		[10]	8
11		[11]	5
12		[12]	1
13		[12, 8, 13]	11
14		[12, 8, 13, 14]	19
15		[12, 8, 13, 15]	16
16		[12, 8, 13, 16]	14
17		[12, 8, 13, 15, 17]	17
18		[12, 8, 13, 16, 18]	23
19		[12, 8, 13, 15, 19]	18


Forwarding Table for Node 9 at TIME_STEP 1:
Destination	Path	Cost
0		[8, 2, 1, 0]	18
1		[8, 2, 1]	16
2		[8, 2]	9
3		[8, 2, 3]	10
4		[8, 6, 7, 4]	16
5		[8, 6, 5]	20
6		[8, 6]	11
7		[8, 6, 7]	12
8		[8]	7
10		[10]	3
11		[11]	6
12		[12]	7
13		[8, 13]	10
14		[8, 13, 14]	18
15		[8, 13, 15]	20
16		[8, 13, 16]	16
17		[8, 13, 15, 17]	29
18		[8, 13, 16, 18]	20
19		[8, 13, 15, 19]	23


Forwarding Table for Node 9 at TIME_STEP 2:
Destination	Path	Cost
0		[8, 2, 1, 0]	25
1		[8, 2, 1]	19
2		[8, 2]	17
3		[8, 3]	16
4		[8, 6, 7, 4]	26
5		[8, 6, 5]	19
6		[8, 6]	15
7		[8, 6, 7]	21
8		[8]	9
10		[10]	2
11		[11]	3
12		[12]	5
13		[8, 13]	10
14		[8, 13, 14]	13
15		[8, 13, 15]	19
16		[8, 13, 16]	20
17		[8, 13, 15, 17]	27
18		[8, 13, 16, 18]	29
19		[8, 13, 15, 19]	24


Forwarding Table for Node 9 at TIME_STEP 3:
Destination	Path	Cost
0		[8, 2, 1, 0]	19
1		[8, 2, 1]	17
2		[8, 2]	8
3		[8, 3]	8
4		[8, 6, 7, 4]	10
5		[8, 6, 5]	10
6		[8, 6]	5
7		[8, 6, 7]	7
8		[8]	3
10		[10]	6
11		[11]	4
12		[12]	6
13		[8, 13]	12
14		[8, 13, 14]	15
15		[8, 13, 15]	22
16		[8, 13, 16]	13
17		[8, 13, 15, 17]	28
18		[8, 13, 16, 18]	23
19		[8, 2, 1, 0, 19]	27


Forwarding Table for Node 9 at TIME_STEP 4:
Destination	Path	Cost
0		[8, 2, 1, 0]	19
1		[8, 2, 1]	13
2		[8, 2]	9
3		[8, 3]	11
4		[8, 6, 5, 4]	21
5		[8, 6, 5]	11
6		[8, 6]	6
7		[8, 2, 7]	14
8		[8]	1
10		[10]	8
11		[11]	4
12		[12]	2
13		[8, 13]	6
14		[8, 13, 14]	13
15		[8, 13, 15]	14
16		[8, 13, 16]	16
17		[8, 13, 15, 17]	22
18		[8, 13, 16, 18]	26
19		[8, 13, 15, 19]	15


Forwarding Table for Node 9 at TIME_STEP 5:
Destination	Path	Cost
0		[8, 13, 15, 19, 0]	15
1		[8, 13, 2, 1]	20
2		[8, 13, 2]	12
3		[8, 3]	10
4		[8, 6, 7, 4]	22
5		[8, 6, 5]	15
6		[8, 6]	11
7		[8, 6, 7]	13
8		[8]	5
10		[10]	4
11		[11]	8
12		[12]	7
13		[8, 13]	7
14		[8, 13, 14]	16
15		[8, 13, 15]	11
16		[8, 13, 16]	9
17		[8, 13, 15, 17]	18
18		[8, 13, 16, 18]	12
19		[8, 13, 15, 19]	12


Forwarding Table for Node 9 at TIME_STEP 6:
Destination	Path	Cost
0		[8, 13, 15, 19, 0]	24
1		[8, 2, 1]	17
2		[8, 2]	15
3		[8, 3]	9
4		[8, 3, 7, 4]	15
5		[8, 6, 5]	15
6		[8, 6]	9
7		[8, 3, 7]	11
8		[8]	5
10		[10]	10
11		[11]	4
12		[12]	3
13		[8, 13]	13
14		[8, 13, 14]	16
15		[8, 13, 15]	19
16		[8, 13, 16]	23
17		[8, 13, 15, 17]	29
18		[8, 13, 16, 18]	24
19		[8, 13, 15, 19]	21


Forwarding Table for Node 9 at TIME_STEP 7:
Destination	Path	Cost
0		[8, 2, 1, 0]	21
1		[8, 2, 1]	19
2		[8, 2]	15
3		[8, 3]	19
4		[8, 2, 7, 4]	22
5		[8, 6, 5]	23
6		[8, 6]	20
7		[8, 2, 7]	21
8		[8]	10
10		[10]	5
11		[11]	4
12		[12]	5
13		[8, 13]	16
