Forwarding Table for Node 18 at TIME_STEP 0:
Destination	Path	Cost
0		[16, 13, 15, 19, 0]	32
1		[16, 13, 2, 1]	27
2		[16, 13, 2]	20
3		[16, 13, 2, 3]	21
4		[16, 13, 8, 6, 7, 4]	33
5		[16, 13, 8, 6, 5]	27
6		[16, 13, 8, 6]	22
7		[16, 13, 8, 6, 7]	24
8		[16, 13, 8]	21
9		[16, 13, 8, 9]	23
10		[16, 13, 8, 9, 10]	31
11		[16, 13, 8, 9, 11]	28
12		[16, 13, 8, 12]	23
13		[16, 13]	16
14		[16, 13, 14]	24
15		[16, 13, 15]	21
16		[16]	9
17		[16, 13, 15, 17]	22
19		[16, 13, 15, 19]	23


Forwarding Table for Node 18 at TIME_STEP 1:
Destination	Path	Cost
0		[16, 13, 8, 2, 1, 0]	33
1		[16, 13, 8, 2, 1]	31
2		[16, 13, 8, 2]	24
3		[16, 13, 8, 2, 3]	25
4		[16, 13, 8, 2, 7, 4]	35
5		[16, 13, 8, 6, 5]	30
6		[16, 13, 8, 6]	29
7		[16, 13, 8, 2, 7]	31
8		[16, 13, 8]	21
9		[16, 13, 8, 9]	24
10		[16, 13, 8, 9, 10]	27
11		[16, 13, 8, 9, 11]	30
12		[16, 13, 8, 12]	28
13		[16, 13]	19
14		[16, 13, 14]	27
15		[16, 13, 15]	29
16		[16]	10
17		[16, 13, 15, 17]	32
19		[16, 13, 15, 19]	36


Forwarding Table for Node 18 at TIME_STEP 2:
Destination	Path	Cost
0		[16, 13, 2, 1, 0]	27
1		[16, 13, 2, 1]	21
2		[16, 13, 2]	19
3		[16, 13, 2, 3]	21
4		[16, 13, 2, 7, 4]	30
5		[16, 13, 8, 6, 5]	28
6		[16, 13, 8, 6]	25
7		[16, 13, 2, 7]	25
8		[16, 13, 8]	21
9		[16, 13, 8, 9]	26
10		[16, 13, 8, 9, 10]	28
11		[16, 13, 8, 9, 11]	29
12		[16, 13, 8, 12]	30
13		[16, 13]	12
14		[16, 13, 14]	15
15		[16, 13, 15]	21
16		[16]	4
17		[16, 13, 15, 17]	30
19		[16, 13, 15, 19]	30


Forwarding Table for Node 18 at TIME_STEP 3:
Destination	Path	Cost
0		[16, 13, 15, 19, 0]	21
1		[16, 13, 2, 1]	22
2		[16, 13, 2]	13
3		[16, 13, 2, 3]	15
4		[16, 13, 2, 7, 4]	21
5		[16, 13, 2, 7, 4, 5]	25
6		[16, 13, 8, 6]	21
7		[16, 13, 2, 7]	18
8		[16, 13, 8]	16
9		[16, 13, 8, 9]	19
10		[16, 13, 8, 9, 10]	25
11		[16, 13, 8, 9, 11]	23
12		[16, 13, 8, 12]	20
13		[16, 13]	11
14		[16, 13, 14]	16
15		[16, 13, 15]	16
16		[16]	3
17		[16, 13, 15, 17]	23
19		[16, 13, 15, 19]	18


Forwarding Table for Node 18 at TIME_STEP 4:
Destination	Path	Cost
0		[16, 13, 8, 2, 1, 0]	27
1		[16, 13, 8, 2, 1]	21
2		[16, 13, 8, 2]	17
3		[16, 13, 8, 2, 3]	19
4		[16, 13, 8, 6, 5, 4]	25
5		[16, 13, 8, 6, 5]	24
6		[16, 13, 8, 6]	18
7		[16, 13, 8, 6, 7]	20
8		[16, 13, 8]	15
9		[16, 13, 8, 9]	21
10		[16, 13, 8, 9, 10]	29
11		[16, 13, 8, 9, 11]	25
12		[16, 13, 8, 12]	17
13		[16, 13]	9
14		[16, 13, 14]	16
15		[16, 13, 15]	17
16		[16]	6
17		[16, 13, 15, 17]	24
19		[16, 13, 15, 19]	23


Forwarding Table for Node 18 at TIME_STEP 5:
Destination	Path	Cost
0		[16, 13, 15, 19, 0]	35
1		[16, 13, 2, 1]	34
2		[16, 13, 2]	26
3		[16, 13, 8, 3]	25
4		[16, 13, 8, 6, 5, 4]	31
5		[16, 13, 8, 6, 5]	30
6		[16, 13, 8, 6]	25
7		[16, 13, 2, 7]	29
8		[16, 13, 8]	23
9		[16, 13, 8, 9]	31
10		[16, 13, 8, 9, 10]	35
11		[16, 13, 8, 9, 11]	39
12		[16, 13, 8, 12]	27
13		[16, 13]	17
14		[16, 13, 14]	20
15		[16, 13, 15]	19
16		[16]	9
17		[16, 13, 15, 17]	28
19		[16, 13, 15, 19]	28


Forwarding Table for Node 18 at TIME_STEP 6:
Destination	Path	Cost
0		[16, 13, 15, 19, 0]	16
1		[16, 13, 2, 1]	13
2		[16, 13, 2]	11
3		[16, 13, 2, 3]	18
4		[16, 13, 2, 7, 4]	21
5		[16, 13, 2, 8, 6, 5]	23
6		[16, 13, 2, 8, 6]	21
7		[16, 13, 2, 7]	17
8		[16, 13, 2, 8]	13
9		[16, 13, 2, 8, 9]	17
10		[16, 13, 2, 8, 9, 10]	27
11		[16, 13, 2, 8, 9, 11]	21
12		[16, 13, 2, 8, 9, 12]	20
13		[16, 13]	7
14		[16, 13, 14]	9
15		[16, 13, 15]	8
16		[16]	4
17		[16, 13, 15, 17]	15
19		[16, 13, 15, 19]	11


Forwarding Table for Node 18 at TIME_STEP 7:
Destination	Path	Cost
0		[16, 13, 2, 1, 0]	21
1		[16, 13, 2, 1]	19
2		[16, 13, 2]	15
3		[16, 13, 2, 3]	22
4		[16, 13, 2, 7, 4]	22
5		[16, 13, 8, 6, 5]	29
6		[16, 13, 8, 6]	24
7		[16, 13, 2, 7]	21
8		[16, 13, 8]	19
9		[16, 13, 8, 12, 9]	25
10		[16, 13, 8, 12, 9, 10]	32
11		[16, 13, 8, 12, 9, 11]	28
12		[16, 13, 8, 12]	22
13		[16, 13]	11
14		[16, 13, 14]	12
15		[16, 13, 15]	12
16		[16]	4
17		[16, 13, 15, 17]	15
19		[16, 13, 15, 19]	19


Forwarding Table for Node 18 at TIME_STEP 8:
Destination	Path	Cost
0		[16, 13, 15, 19, 0]	25
1		[16, 13, 2, 1]	26
2		[16, 13, 2]	17
3		[16, 13, 2, 3]	22
4		[16, 13, 2, 7, 4]	29
5		[16, 13, 8, 6, 5]	25
6		[16, 13, 8, 6]	18
7		[16, 13, 2, 7]	25
8		[16, 13, 8]	15
9		[16, 13, 8, 9]	20
10		[16, 13, 8, 9, 10]	27
11		[16, 13, 8, 9, 11]	30
12		[16, 13, 8, 12]	21
13		[16, 13]	8
14		[16, 13, 14]	11
15		[16, 13, 15]	15
16		[16]	3
17		[16, 13, 15, 17]	20
19		[16, 13, 15, 19]	20


Forwarding Table for Node 18 at TIME_STEP 9:
Destination	Path	Cost
0		[16, 13, 15, 19, 0]	31
1		[16, 13, 8, 2, 1]	30
2		[16, 13, 8, 2]	21
3		[16, 13, 8, 3]	22
4		[16, 13, 8, 3, 7, 4]	30
5		[16, 13, 8, 3, 7, 4, 5]	33
6		[16, 13, 8, 6]	29
7		[16, 13, 8, 3, 7]	23
8		[16, 13, 8]	20
9		[16, 13, 8, 9]	27
10		[16, 13, 8, 9, 10]	33
11		[16, 13, 8, 9, 11]	32
12		[16, 13, 8, 12]	29
13		[16, 13]	15
14		[16, 13, 14]	20
15		[16, 13, 15]	24
16		[16]	5
17		[16, 13, 15, 17]	32
19		[16, 13, 15, 19]	28


Forwarding Table for Node 18 at TIME_STEP 10:
Destination	Path	Cost
0		[16, 13, 15, 19, 0]	20
1		[16, 13, 2, 1]	20
2		[16, 13, 2]	11
3		[16, 13, 2, 3]	12
4		[16, 13, 2, 7, 4]	16
5		[16, 13, 2, 7, 6, 5]	19
6		[16, 13, 2, 7, 6]	14
7		[16, 13, 2, 7]	13
8		[16, 13, 2, 8]	13
9		[16, 13, 2, 8, 12, 9]	18
10		[16, 13, 2, 8, 12, 9, 10]	25
11		[16, 13, 2, 8, 12, 9, 11]	24
12		[16, 13, 2, 8, 12]	14
13		[16, 13]	7
14		[16, 13, 14]	14
15		[16, 13, 15]	9
16		[16]	1
17		[16, 13, 15, 17]	13
19		[16, 13, 15, 19]	12


Forwarding Table for Node 18 at TIME_STEP 11:
Destination	Path	Cost
0		[16, 13, 2, 1, 0]	20
1		[16, 13, 2, 1]	15
2		[16, 13, 2]	13
3		[16, 13, 2, 3]	15
4		[16, 13, 2, 7, 4]	26
5		[16, 13, 2, 7, 6, 5]	21
6		[16, 13, 2, 7, 6]	18
7		[16, 13, 2, 7]	17
8		[16, 13, 2, 8]	15
9		[16, 13, 2, 8, 9]	17
10		[16, 13, 2, 8, 9, 10]	25
11		[16, 13, 2, 8, 9, 11]	21
12		[16, 13, 2, 8, 12]	20
13		[16, 13]	11
14		[16, 13, 14]	18
15		[16, 13, 15]	12
16		[16]	4
17		[16, 13, 15, 17]	13
19		[16, 13, 15, 19]	19


Forwarding Table for Node 18 at TIME_STEP 12:
Destination	Path	Cost
0		[16, 13, 2, 1, 0]	40
1		[16, 13, 2, 1]	34
2		[16, 13, 2]	27
3		[16, 13, 8, 3]	32
4		[16, 13, 2, 7, 4]	33
5		[16, 13, 8, 6, 5]	32
6		[16, 13, 8, 6]	26
7		[16, 13, 2, 7]	29
8		[16, 13, 8]	25
9		[16, 13, 8, 9]	29
10		[16, 13, 8, 9, 10]	32
11		[16, 13, 8, 9, 11]	33
12		[16, 13, 8, 9, 12]	30
13		[16, 13]	19
14		[16, 13, 14]	24
15		[16, 13, 15]	29
16		[16]	10
17		[16, 13, 15, 17]	36
19		[16, 13, 15, 19]	38


Forwarding Table for Node 18 at TIME_STEP 13:
Destination	Path	Cost
0		[16, 13, 2, 1, 0]	29
1		[16, 13, 2, 1]	20
2		[16, 13, 2]	16
3		[16, 13, 2, 3]	20
4		[16, 13, 2, 7, 4]	32
5		[16, 13, 2, 8, 6, 5]	35
6		[16, 13, 2, 8, 6]	25
7		[16, 13, 2, 7]	24
8		[16, 13, 2, 8]	18
9		[16, 13, 2, 8, 12, 9]	24
10		[16, 13, 2, 8, 12, 9, 10]	25
11		[16, 13, 2, 8, 12, 9, 11]	28
12		[16, 13, 2, 8, 12]	19
13		[16, 13]	12
14		[16, 13, 14]	21
15		[16, 13, 15]	18
16		[16]	8
17		[16, 13, 15, 17]	19
19		[16, 13, 15, 19]	26


Forwarding Table for Node 18 at TIME_STEP 14:
Destination	Path	Cost
0		[16, 13, 2, 1, 0]	17
1		[16, 13, 2, 1]	16
2		[16, 13, 2]	14
3		[16, 13, 8, 3]	19
4		[16, 13, 2, 7, 4]	22
5		[16, 13, 2, 7, 4, 5]	23
6		[16, 13, 8, 6]	21
7		[16, 13, 2, 7]	18
8		[16, 13, 8]	15
9		[16, 13, 8, 9]	17
10		[16, 13, 8, 9, 10]	25
11		[16, 13, 8, 9, 11]	26
12		[16, 13, 8, 12]	19
13		[16, 13]	13
14		[16, 13, 14]	17
15		[16, 13, 15]	17
16		[16]	7
17		[16, 13, 15, 17]	22
19		[16, 13, 2, 1, 0, 19]	20


Forwarding Table for Node 18 at TIME_STEP 15:
Destination	Path	Cost
0		[16, 13, 15, 19, 0]	22
1		[16, 13, 2, 1]	21
2		[16, 13, 2]	14
3		[16, 13, 8, 3]	15
4		[16, 13, 8, 6, 7, 4]	19
5		[16, 13, 8, 6, 5]	23
6		[16, 13, 8, 6]	14
7		[16, 13, 8, 6, 7]	18
8		[16, 13, 8]	10
9		[16, 13, 8, 9]	11
10		[16, 13, 8, 9, 10]	13
11		[16, 13, 8, 9, 11]	20
12		[16, 13, 8, 9, 12]	15
13		[16, 13]	6
14		[16, 13, 14]	13
15		[16, 13, 15]	13
16		[16]	2
17		[16, 13, 15, 17]	14
19		[16, 13, 15, 19]	17


Forwarding Table for Node 18 at TIME_STEP 16:
Destination	Path	Cost
0		[16, 13, 15, 19, 0]	28
1		[16, 13, 2, 1]	25
2		[16, 13, 2]	23
