Forwarding Table for Node 5 at TIME_STEP 0:
Destination	Path	Cost
0		[6, 8, 13, 15, 19, 0]	31
1		[4, 7, 2, 1]	26
2		[4, 7, 2]	19
3		[4, 7, 3]	15
4		[4]	8
6		[6]	10
7		[4, 7]	9
8		[6, 8]	12
9		[6, 8, 9]	14
10		[6, 8, 9, 10]	22
11		[6, 8, 9, 11]	19
12		[6, 8, 12]	14
13		[6, 8, 13]	15
14		[6, 8, 13, 14]	23
15		[6, 8, 13, 15]	20
16		[6, 8, 13, 16]	18
17		[6, 8, 13, 15, 17]	21
18		[6, 8, 13, 16, 18]	27
19		[6, 8, 13, 15, 19]	22


Forwarding Table for Node 5 at TIME_STEP 1:
Destination	Path	Cost
0		[6, 8, 2, 1, 0]	16
1		[6, 8, 2, 1]	14
2		[6, 8, 2]	7
3		[6, 7, 3]	6
4		[4]	7
6		[6]	3
7		[6, 7]	4
8		[6, 8]	4
9		[6, 8, 9]	7
10		[6, 8, 9, 10]	10
11		[6, 8, 9, 11]	13
12		[6, 8, 12]	11
13		[6, 8, 13]	5
14		[6, 8, 13, 14]	13
15		[6, 8, 13, 15]	15
16		[6, 8, 13, 16]	11
17		[6, 8, 13, 15, 17]	24
18		[6, 8, 13, 16, 18]	15
19		[6, 8, 13, 15, 19]	18


Forwarding Table for Node 5 at TIME_STEP 2:
Destination	Path	Cost
0		[6, 7, 2, 1, 0]	23
1		[6, 7, 2, 1]	17
2		[6, 7, 2]	15
3		[6, 7, 3]	14
4		[4]	7
6		[6]	5
7		[6, 7]	11
8		[6, 8]	9
9		[6, 8, 9]	14
10		[6, 8, 9, 10]	16
11		[6, 8, 9, 11]	17
12		[6, 8, 12]	18
13		[6, 8, 13]	17
14		[6, 8, 13, 14]	20
15		[6, 8, 13, 15]	26
16		[6, 8, 13, 16]	27
17		[6, 8, 13, 15, 17]	34
18		[6, 8, 13, 16, 18]	36
19		[6, 7, 2, 1, 0, 19]	31


Forwarding Table for Node 5 at TIME_STEP 3:
Destination	Path	Cost
0		[4, 7, 2, 1, 0]	28
1		[4, 7, 2, 1]	26
