Forwarding Table for Node 12 at TIME_STEP 0:
Destination	Path	Cost
0		[8, 13, 15, 19, 0]	21
1		[8, 13, 2, 1]	16
2		[8, 13, 2]	9
3		[8, 3]	8
4		[8, 6, 7, 4]	14
5		[8, 6, 5]	8
6		[8, 6]	3
7		[8, 6, 7]	5
8		[8]	2
9		[9]	1
10		[9, 10]	9
11		[9, 11]	6
13		[8, 13]	5
14		[8, 13, 14]	13
15		[8, 13, 15]	10
16		[8, 13, 16]	8
17		[8, 13, 15, 17]	11
18		[8, 13, 16, 18]	17
19		[8, 13, 15, 19]	12


Forwarding Table for Node 12 at TIME_STEP 1:
Destination	Path	Cost
0		[8, 2, 1, 0]	13
1		[8, 2, 1]	11
2		[8, 2]	4
3		[8, 2, 3]	5
4		[8, 2, 7, 4]	15
5		[8, 6, 5]	10
6		[8, 6]	9
7		[8, 2, 7]	11
8		[8]	1
9		[8, 9]	4
10		[8, 9, 10]	7
11		[8, 9, 11]	10
13		[8, 13]	2
14		[8, 13, 14]	10
15		[8, 13, 15]	12
16		[8, 13, 16]	8
17		[8, 13, 15, 17]	15
18		[8, 13, 16, 18]	13
19		[8, 13, 15, 19]	19


Forwarding Table for Node 12 at TIME_STEP 2:
Destination	Path	Cost
0		[8, 2, 1, 0]	22
1		[8, 2, 1]	16
2		[8, 2]	14
3		[8, 3]	12
4		[8, 6, 7, 4]	16
5		[8, 6, 5]	12
6		[8, 6]	9
7		[8, 6, 7]	11
8		[8]	5
9		[9]	6
10		[9, 10]	8
11		[9, 11]	9
13		[8, 13]	13
14		[8, 13, 14]	16
15		[8, 13, 15]	22
16		[8, 13, 16]	23
17		[8, 13, 15, 17]	30
18		[8, 13, 16, 18]	25
19		[8, 13, 15, 19]	27


Forwarding Table for Node 12 at TIME_STEP 3:
Destination	Path	Cost
0		[8, 2, 1, 0]	21
1		[8, 2, 1]	19
2		[8, 2]	10
3		[8, 3]	8
4		[8, 6, 7, 4]	17
5		[8, 6, 5]	13
6		[8, 6]	6
7		[8, 6, 7]	14
8		[8]	1
9		[9]	4
10		[9, 10]	10
11		[9, 11]	8
13		[8, 13]	8
14		[8, 13, 14]	11
15		[8, 13, 15]	18
16		[8, 13, 16]	9
17		[8, 13, 15, 17]	25
18		[8, 13, 16, 18]	10
19		[8, 13, 15, 19]	20


